symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
1INCH/USD,0.219,0.219,0.216,0.216,3,822.85050547,0.216,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
1INCH/USD,0.219,0.219,0.216,0.216,2,794.46707955,0.216,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
1INCH/USD,0.219,0.219,0.219,0.219,1,194.46707955,0.219,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
1INCH/USD,0.225,0.226,0.225,0.226,2,861.26897994,0.225,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
1INCH/USD,0.225,0.225,0.225,0.225,1,189.28129076,0.225,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
1INCH/USD,0.229,0.229,0.229,0.229,1,871.24366794,0.229,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
1INCH/USD,0.232,0.232,0.232,0.232,1,859.9776859,0.232,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
1INCH/USD,0.233,0.233,0.233,0.233,1,68.72660944,0.233,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
1INCH/USD,0.23,0.23,0.229,0.229,2,768.11768918,0.229,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
1INCH/USD,0.23,0.23,0.23,0.23,1,96.13,0.23,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
1INCH/USD,0.223,0.231,0.222,0.231,5,1025.39697053,0.224,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
1INCH/USD,0.223,0.231,0.222,0.231,4,931.58887978,0.223,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
1INCH/USD,0.223,0.225,0.222,0.225,3,836.58887978,0.223,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
1INCH/USD,0.223,0.223,0.222,0.222,2,642.60796461,0.222,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
1INCH/USD,0.223,0.223,0.223,0.223,1,340.70796461,0.223,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
1INCH/USD,0.23,0.23,0.219,0.219,12,9005.86485278,0.222,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.219,0.219,11,8953.40004372,0.222,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.22,0.22,10,8758.93296417,0.222,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.222,0.222,9,6508.93296417,0.223,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.223,0.223,8,6008.93296417,0.224,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.224,0.224,7,2079.16216783,0.226,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.225,0.226,6,1450.17756962,0.227,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
1INCH/USD,0.23,0.23,0.225,0.225,5,1014.23877962,0.227,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
