symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AAVE/ETH,0.0868,0.0882,0.0868,0.0882,8,1.7591306,0.0873,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0868,0.0881,0.0868,0.0881,7,1.39580336,0.0871,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0868,0.0875,0.0868,0.0875,6,1.32578643,0.087,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0868,0.0871,0.0868,0.0871,4,0.90852502,0.0869,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0868,0.0869,0.0868,0.0869,3,0.61852502,0.0868,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0868,0.0868,0.0868,0.0868,2,0.54753111,0.0868,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0868,0.0868,0.0868,0.0868,1,0.50113318,0.0868,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AAVE/ETH,0.0859,0.0859,0.0859,0.0859,2,0.37272505,0.0859,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
AAVE/ETH,0.0859,0.0859,0.0859,0.0859,1,0.34675937,0.0859,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
AAVE/ETH,0.0863,0.0876,0.086,0.0866,14,47.43114825,0.0872,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
AAVE/ETH,0.0863,0.0876,0.086,0.086,13,47.36060389,0.0872,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
AAVE/ETH,0.0863,0.0876,0.0863,0.0876,12,47.28956736,0.0872,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
AAVE/ETH,0.0856,0.0859,0.0856,0.0859,3,0.75566564,0.0858,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AAVE/ETH,0.0856,0.0859,0.0856,0.0859,2,0.49699297,0.0857,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AAVE/ETH,0.0856,0.0856,0.0856,0.0856,1,0.23815556,0.0856,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AAVE/ETH,0.0866,0.0866,0.086,0.086,2,0.14158089,0.0862,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
AAVE/ETH,0.0866,0.0866,0.0866,0.0866,1,0.07054436,0.0866,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
AAVE/ETH,0.0867,0.0875,0.0867,0.0875,6,1.04683311,0.0869,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AAVE/ETH,0.0867,0.0871,0.0867,0.0871,5,0.97633107,0.0869,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AAVE/ETH,0.0867,0.0867,0.0867,0.0867,2,0.0497172,0.0867,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AAVE/ETH,0.0867,0.0867,0.0867,0.0867,1,0.0248586,0.0867,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AAVE/ETH,0.0862,0.0863,0.0857,0.0858,5,3.16161922,0.0858,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AAVE/ETH,0.0862,0.0863,0.0857,0.0857,4,2.15819951,0.0858,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AAVE/ETH,0.0862,0.0863,0.0857,0.0857,3,0.94222018,0.0859,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AAVE/ETH,0.0862,0.0863,0.0862,0.0863,2,0.4615941,0.0862,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AAVE/ETH,0.0862,0.0862,0.0862,0.0862,1,0.39010142,0.0862,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0842,0.0857,47,54.53917784,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0842,0.0851,46,54.46717931,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0842,0.0842,45,54.39466773,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0843,0.0843,44,54.32211261,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0843,0.0843,43,53.46267302,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0843,0.0843,42,53.39510361,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0844,0.0844,41,52.98949219,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0844,0.0844,40,50.84469878,0.0854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0844,0.0844,39,48.69990537,0.0855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0866,38,46.55511196,0.0855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.086,37,46.4845676,0.0855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0854,36,46.41353107,0.0855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0851,35,46.34199546,0.0855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0849,34,44.2148443,0.0855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0851,32,41.74898996,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0851,31,41.45283265,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,30,39.6218388,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,29,37.8347223,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,28,37.7672147,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,27,37.6997071,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,26,37.6321995,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,25,37.5646919,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,24,37.4971843,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0852,23,37.4296767,0.0856,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0853,21,35.3050222,0.0857,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AAVE/ETH,0.0865,0.0875,0.0848,0.0848,20,35.23751461,0.0857,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
