symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AAVE/GBP,255.9,255.9,255.9,255.9,1,0.03386841,255.9,2025-02-01T16:27:00.000000000Z,1,2025-02-01T16:28:00.000000Z
AAVE/GBP,253.8,253.8,253.8,253.8,1,0.36881,253.8,2025-02-01T17:13:00.000000000Z,1,2025-02-01T17:14:00.000000Z
AAVE/GBP,252.12,252.12,252.12,252.12,1,0.03390232,252.12,2025-02-01T18:48:00.000000000Z,1,2025-02-01T18:49:00.000000Z
AAVE/GBP,250.48,250.48,250.48,250.48,1,6.96730888,250.48,2025-02-01T19:04:00.000000000Z,1,2025-02-01T19:05:00.000000Z
AAVE/GBP,250.19,250.19,250.19,250.19,1,0.01998481,250.19,2025-02-01T19:13:00.000000000Z,1,2025-02-01T19:14:00.000000Z
AAVE/GBP,249.63,249.63,249.63,249.63,1,0.03424049,249.63,2025-02-01T19:20:00.000000000Z,1,2025-02-01T19:21:00.000000Z
AAVE/GBP,248.5,248.5,248.47,248.47,2,10.02012315,248.49,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
AAVE/GBP,247.16,247.16,247.16,247.16,1,0.03458267,247.16,2025-02-01T19:54:00.000000000Z,1,2025-02-01T19:55:00.000000Z
AAVE/GBP,245.44,245.44,245.44,245.44,1,0.04074315,245.44,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
AAVE/GBP,245.0,245.0,245.0,245.0,1,0.48979591,245.0,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
