symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ACA/USD,0.076,0.076,0.075,0.076,7,17415.6999008,0.075,2025-02-01T13:54:00.000000000Z,1,2025-02-01T13:55:00.000000Z
ACA/USD,0.075,0.075,0.075,0.075,2,5772.73385801,0.075,2025-02-01T14:00:00.000000000Z,1,2025-02-01T14:01:00.000000Z
ACA/USD,0.074,0.074,0.074,0.074,6,6724.0,0.074,2025-02-01T14:52:00.000000000Z,1,2025-02-01T14:53:00.000000Z
ACA/USD,0.074,0.074,0.074,0.074,1,168.91,0.074,2025-02-01T15:45:00.000000000Z,1,2025-02-01T15:46:00.000000Z
ACA/USD,0.074,0.074,0.073,0.073,2,273.97260273,0.073,2025-02-01T15:59:00.000000000Z,1,2025-02-01T16:00:00.000000Z
ACA/USD,0.074,0.074,0.074,0.074,1,766.20038786,0.074,2025-02-01T16:00:00.000000000Z,1,2025-02-01T16:01:00.000000Z
ACA/USD,0.073,0.073,0.07,0.073,13,42332.6334686,0.071,2025-02-01T16:12:00.000000000Z,1,2025-02-01T16:13:00.000000Z
ACA/USD,0.073,0.073,0.073,0.073,4,11852.34236504,0.073,2025-02-01T16:15:00.000000000Z,1,2025-02-01T16:16:00.000000Z
ACA/USD,0.074,0.074,0.074,0.074,6,12128.415168,0.074,2025-02-01T16:29:00.000000000Z,1,2025-02-01T16:30:00.000000Z
ACA/USD,0.072,0.072,0.072,0.072,1,42.2057012,0.072,2025-02-01T16:38:00.000000000Z,1,2025-02-01T16:39:00.000000Z
