symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ACH/EUR,0.03156,0.03156,0.03156,0.03156,1,10224.98179002,0.03156,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ACH/EUR,0.03299,0.03299,0.03299,0.03299,1,326.31266686,0.03299,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ACH/EUR,0.03363,0.03363,0.03363,0.03363,1,7262.0,0.03363,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
ACH/EUR,0.03336,0.03336,0.03318,0.03318,3,43663.19621378,0.03324,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ACH/EUR,0.03336,0.03336,0.03327,0.03327,2,25993.48482025,0.03329,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ACH/EUR,0.03336,0.03336,0.03336,0.03336,1,7492.0,0.03336,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ACH/EUR,0.03391,0.03391,0.03391,0.03391,2,36304.59205134,0.03391,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ACH/EUR,0.03391,0.03391,0.03391,0.03391,1,18152.29602567,0.03391,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ACH/EUR,0.03335,0.03335,0.03333,0.03333,2,18169.0,0.03333,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ACH/EUR,0.03335,0.03335,0.03335,0.03335,1,9082.0,0.03335,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ACH/EUR,0.03202,0.03361,0.032,0.03361,5,24072.29775268,0.03324,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ACH/EUR,0.03202,0.03336,0.032,0.03336,4,15412.29775268,0.03303,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ACH/EUR,0.03202,0.03335,0.032,0.03335,3,12336.30706349,0.03295,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ACH/EUR,0.03202,0.03202,0.032,0.032,2,3676.30706349,0.03201,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ACH/EUR,0.03202,0.03202,0.03202,0.03202,1,3051.30706349,0.03202,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ACH/EUR,0.03412,0.03412,0.03229,0.03258,5,28002.92954003,0.03276,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ACH/EUR,0.03412,0.03412,0.03229,0.03229,4,18706.92954003,0.03286,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ACH/EUR,0.03412,0.03412,0.03283,0.03283,2,18428.82143193,0.03287,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ACH/EUR,0.03412,0.03412,0.03412,0.03412,1,576.49015,0.03412,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ACH/EUR,0.03413,0.03413,0.034,0.034,2,35471.90413705,0.0341,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ACH/EUR,0.03413,0.03413,0.03413,0.03413,1,28616.23747039,0.03413,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ACH/EUR,0.035,0.035,0.035,0.035,1,5364.0,0.035,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
ACH/EUR,0.03506,0.03517,0.03506,0.03511,3,32194.92141567,0.03509,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ACH/EUR,0.03535,0.03535,0.03529,0.03529,2,22032.00734499,0.0353,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
ACH/EUR,0.0357,0.0357,0.03503,0.03503,7,35779.07627655,0.03542,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
ACH/EUR,0.03576,0.03576,0.03576,0.03576,1,0.01364845,0.03576,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
ACH/EUR,0.03579,0.036,0.03576,0.03596,11,1159480.71,0.03587,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
ACH/EUR,0.03581,0.03581,0.03581,0.03581,1,5362.77246653,0.03581,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
ACH/EUR,0.03639,0.03641,0.03634,0.03638,4,33307.0,0.03638,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
ACH/EUR,0.0363,0.0363,0.0363,0.0363,1,5286.21432418,0.0363,2025-02-03T01:33:00.000000000Z,1,2025-02-03T01:34:00.000000Z
ACH/EUR,0.03598,0.03598,0.03596,0.03596,2,104693.06462314,0.03596,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
