symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ADA/AUD,1.48321,1.48321,1.48321,1.48321,1,32.94233,1.48321,2025-02-01T19:09:00.000000000Z,1,2025-02-01T19:10:00.000000Z
ADA/AUD,1.47771,1.47771,1.47771,1.47771,1,50.0,1.47771,2025-02-01T19:24:00.000000000Z,1,2025-02-01T19:25:00.000000Z
ADA/AUD,1.4777,1.4777,1.4777,1.4777,1,337.68694592,1.4777,2025-02-01T19:25:00.000000000Z,1,2025-02-01T19:26:00.000000Z
ADA/AUD,1.47199,1.47199,1.47199,1.47199,1,100.396913,1.47199,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
ADA/AUD,1.47,1.47,1.47,1.47,2,1364.94421768,1.47,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
ADA/AUD,1.46873,1.46873,1.46873,1.46873,1,135.76285755,1.46873,2025-02-01T19:45:00.000000000Z,1,2025-02-01T19:46:00.000000Z
ADA/AUD,1.46878,1.46878,1.46878,1.46878,1,11.57931363,1.46878,2025-02-01T19:50:00.000000000Z,1,2025-02-01T19:51:00.000000Z
ADA/AUD,1.4715,1.4715,1.4715,1.4715,1,11.62205924,1.4715,2025-02-01T19:57:00.000000000Z,1,2025-02-01T19:58:00.000000Z
ADA/AUD,1.4622,1.4622,1.4622,1.4622,1,11.52319526,1.4622,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
ADA/AUD,1.46,1.46,1.46,1.46,1,4.4,1.46,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
