symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ADA/GBP,0.47437,0.47527,0.45364,0.45364,41,59232.28691313,0.46742,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45364,0.45364,40,58312.52077341,0.46764,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45365,0.45365,38,57049.3523145,0.46795,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,37,56214.24177519,0.46816,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,36,56174.68462003,0.46817,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,35,55494.94590632,0.4683,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,34,53094.94590632,0.46882,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,33,52901.50589131,0.46886,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,32,52421.15992371,0.46897,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45689,0.45689,31,46245.69765393,0.47059,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45939,0.46248,30,45270.68862236,0.47088,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45939,0.46248,29,44507.30848836,0.47103,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.45939,0.45939,28,44400.79343136,0.47105,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46447,0.46447,26,44159.83787836,0.47111,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46451,0.46451,25,42763.32487836,0.47133,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46451,0.46451,24,42658.97521215,0.47134,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46937,0.47064,23,40964.98092688,0.47163,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46937,0.47078,22,40950.34371814,0.47163,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46937,0.47521,20,31224.00938728,0.4719,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46937,0.46937,19,31124.76783728,0.47189,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46937,0.46937,18,31120.82097997,0.47189,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.4694,17,28790.72820969,0.47209,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.4694,16,27586.97495734,0.47221,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.46939,15,27011.1187082,0.47227,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.46939,14,25250.87397088,0.47247,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.46939,13,19706.7958475,0.47333,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.4694,11,18208.50017592,0.47366,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.46939,0.46939,10,17679.54567118,0.47379,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47527,0.47367,0.47527,9,16679.09778525,0.47405,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47437,0.47367,0.47367,3,2279.09778525,0.474,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47437,0.47367,0.47367,2,2104.69050474,0.47403,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.47437,0.47437,0.47437,0.47437,1,1095.49394167,0.47437,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/GBP,0.48846,0.49527,0.48846,0.48969,5,1931.67869305,0.48973,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ADA/GBP,0.48846,0.49527,0.48846,0.48962,4,396.19223374,0.48989,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ADA/GBP,0.48846,0.49527,0.48846,0.48962,3,224.59100693,0.4901,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ADA/GBP,0.48846,0.49527,0.48846,0.49527,2,24.59100693,0.49405,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ADA/GBP,0.48846,0.48846,0.48846,0.48846,1,4.4,0.48846,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
ADA/GBP,0.50305,0.50306,0.49501,0.49501,8,6044.37699008,0.49966,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50306,0.49895,0.49968,7,5173.49510625,0.50045,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50306,0.49895,0.49965,6,4355.41943821,0.50059,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50306,0.49895,0.50073,5,3958.30831822,0.50069,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50306,0.49895,0.50306,4,2358.61654126,0.50067,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50305,0.49895,0.49895,3,2310.20667026,0.50062,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50305,0.50207,0.50207,2,1055.86645,0.5026,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50305,0.50305,0.50305,0.50305,1,575.531784,0.50305,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
ADA/GBP,0.50735,0.50735,0.50735,0.50735,1,229.395821,0.50735,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ADA/GBP,0.50206,0.50333,0.49901,0.49901,5,5538.70770822,0.49979,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
ADA/GBP,0.50206,0.50333,0.50206,0.50333,2,1203.94720345,0.50257,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
ADA/GBP,0.50206,0.50206,0.50206,0.50206,1,713.51121136,0.50206,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
ADA/GBP,0.49576,0.507,0.47487,0.50584,17,9014.58546268,0.4817,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.507,0.47487,0.507,16,9010.18546268,0.48169,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47487,0.48953,15,9004.64033447,0.48167,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47487,0.47487,14,8995.60489447,0.48166,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47487,0.47487,13,8925.69860503,0.48172,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47487,0.47487,12,8080.0096648,0.48244,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47598,0.47598,11,8017.32659827,0.48249,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47598,0.47598,10,7715.57547408,0.48275,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.47598,0.47598,9,7699.1492105,0.48276,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.4769,0.4769,7,5314.34790436,0.48581,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ADA/GBP,0.49576,0.49576,0.48165,0.48165,6,5214.34790436,0.48598,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
