symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ADA/USDC,0.585111,0.585111,0.559029,0.559031,34,42338.64108076,0.565388,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559031,33,42214.43709316,0.565407,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559031,31,41855.74233553,0.565461,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559031,30,40594.8404652,0.565661,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559032,29,40322.68935446,0.565706,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559032,28,39847.99987131,0.565785,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559032,27,39795.48398707,0.565794,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559029,26,38735.29114735,0.565979,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.559029,0.559029,25,28653.24255308,0.568425,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.56,0.56,24,28497.30600913,0.568476,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.5601,23,28229.44886628,0.568557,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.5601,22,28093.06179859,0.568598,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.560101,19,24518.82666983,0.569837,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.560101,18,22767.07993646,0.570586,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.560101,17,22358.3872573,0.570777,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.5601,16,20878.9461354,0.571534,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.5601,0.5601,15,19345.22886517,0.57244,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.560101,0.560101,13,19035.09364602,0.572641,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.562459,0.562459,11,15135.93102558,0.575872,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.569307,0.569307,10,13255.71285838,0.577775,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.57,0.57,9,12829.77185838,0.578056,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.575569,0.575571,7,10413.04031978,0.579924,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.575569,0.575569,6,8575.65513167,0.580856,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.58,0.58,4,4890.93063329,0.58484,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.58511,0.58511,3,4632.30994364,0.58511,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.585111,0.585111,0.585111,0.585111,1,746.33917385,0.585111,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ADA/USDC,0.600435,0.600435,0.586244,0.586244,2,519.05198948,0.590797,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
