symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ADA/USD,0.905773,0.907204,0.905773,0.906655,26,2515.44006386,0.906679,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
ADA/USD,0.905163,0.905163,0.905037,0.905037,5,9258.59156731,0.90508,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
ADA/USD,0.905364,0.905498,0.905038,0.905498,7,1432.58545258,0.905216,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
ADA/USD,0.905037,0.905037,0.905,0.905,7,11188.0,0.905,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
ADA/USD,0.905,0.905001,0.905,0.905,96,288446.05083333,0.905,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
ADA/USD,0.905,0.905,0.905,0.905,1,441.61853616,0.905,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
ADA/USD,0.905421,0.905421,0.905,0.905,10,38561.11642714,0.905003,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
ADA/USD,0.906053,0.906053,0.906053,0.906053,2,4107.951553,0.906053,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
ADA/USD,0.9055,0.9055,0.905,0.905,28,103085.77234936,0.905,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
ADA/USD,0.905,0.905001,0.905,0.905,54,122077.42006878,0.905,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
