symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ADX/EUR,0.16999,0.16999,0.16999,0.16999,1,22.0,0.16999,2025-02-01T11:18:00.000000000Z,1,2025-02-01T11:19:00.000000Z
ADX/EUR,0.15345,0.15345,0.15345,0.15345,1,22.0,0.15345,2025-02-01T11:48:00.000000000Z,1,2025-02-01T11:49:00.000000Z
ADX/EUR,0.16999,0.16999,0.16999,0.16999,1,22.0,0.16999,2025-02-01T11:53:00.000000000Z,1,2025-02-01T11:54:00.000000Z
ADX/EUR,0.15336,0.15336,0.15336,0.15336,1,22.0,0.15336,2025-02-01T12:02:00.000000000Z,1,2025-02-01T12:03:00.000000Z
ADX/EUR,0.16999,0.16999,0.16999,0.16999,1,22.0,0.16999,2025-02-01T12:07:00.000000000Z,1,2025-02-01T12:08:00.000000Z
ADX/EUR,0.1546,0.1546,0.1546,0.1546,1,22.0,0.1546,2025-02-01T12:36:00.000000000Z,1,2025-02-01T12:37:00.000000Z
ADX/EUR,0.16999,0.16999,0.16999,0.16999,1,22.0,0.16999,2025-02-01T12:42:00.000000000Z,1,2025-02-01T12:43:00.000000Z
ADX/EUR,0.15622,0.15622,0.15622,0.15622,1,22.0,0.15622,2025-02-01T13:12:00.000000000Z,1,2025-02-01T13:13:00.000000Z
ADX/EUR,0.16959,0.16959,0.16959,0.16959,1,128.0703,0.16959,2025-02-01T14:19:00.000000000Z,1,2025-02-01T14:20:00.000000Z
ADX/EUR,0.15444,0.15444,0.15443,0.15443,2,116.743,0.15443,2025-02-01T17:26:00.000000000Z,1,2025-02-01T17:27:00.000000Z
