symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ADX/USD,0.16787,0.16788,0.16787,0.16788,2,85.24023,0.16787,2025-02-01T12:41:00.000000000Z,1,2025-02-01T12:42:00.000000Z
ADX/USD,0.16848,0.17052,0.16848,0.17052,2,22.78279118,0.16983,2025-02-01T12:42:00.000000000Z,1,2025-02-01T12:43:00.000000Z
ADX/USD,0.16378,0.16541,0.16378,0.16541,3,203.36751103,0.16523,2025-02-01T13:12:00.000000000Z,1,2025-02-01T13:13:00.000000Z
ADX/USD,0.16389,0.16389,0.16169,0.16171,7,834.72173705,0.16245,2025-02-01T13:27:00.000000000Z,1,2025-02-01T13:28:00.000000Z
ADX/USD,0.16332,0.16332,0.16332,0.16332,3,226.92153098,0.16332,2025-02-01T13:50:00.000000000Z,1,2025-02-01T13:51:00.000000Z
ADX/USD,0.16717,0.16717,0.15921,0.15921,6,318.11748869,0.16334,2025-02-01T14:19:00.000000000Z,1,2025-02-01T14:20:00.000000Z
ADX/USD,0.16364,0.16364,0.16364,0.16364,1,26.0,0.16364,2025-02-01T16:48:00.000000000Z,1,2025-02-01T16:49:00.000000Z
ADX/USD,0.16364,0.16576,0.16364,0.16576,4,181.55623172,0.16523,2025-02-01T17:52:00.000000000Z,1,2025-02-01T17:53:00.000000Z
ADX/USD,0.1588,0.1588,0.15879,0.15879,4,170.96773834,0.15879,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
ADX/USD,0.157,0.157,0.157,0.157,1,22.0,0.157,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
