symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AEVO/EUR,0.1519,0.1519,0.1519,0.1519,1,1012.73494,0.1519,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AEVO/EUR,0.1508,0.1508,0.1507,0.1507,4,4008.12596,0.1507,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
AEVO/EUR,0.1508,0.1508,0.1507,0.1507,3,3943.05095,0.1507,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
AEVO/EUR,0.1508,0.1508,0.1508,0.1508,1,1457.577,0.1508,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
AEVO/EUR,0.1657,0.1657,0.1657,0.1657,1,1275.91532,0.1657,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
AEVO/EUR,0.164,0.164,0.164,0.164,1,1228.57028,0.164,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
AEVO/EUR,0.168,0.168,0.168,0.168,1,1258.20174,0.168,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
AEVO/EUR,0.1708,0.1708,0.1708,0.1708,1,313.12462,0.1708,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
AEVO/EUR,0.1738,0.1738,0.1738,0.1738,1,68.06444,0.1738,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
AEVO/EUR,0.1735,0.1735,0.1735,0.1735,1,1310.00779,0.1735,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
AEVO/EUR,0.1738,0.1738,0.1738,0.1738,1,307.71984,0.1738,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
AEVO/EUR,0.1772,0.1773,0.1772,0.1772,5,1084.10343,0.1772,2025-02-03T01:13:00.000000000Z,1,2025-02-03T01:14:00.000000Z
AEVO/EUR,0.1765,0.1769,0.1765,0.1769,3,2251.90268,0.1766,2025-02-03T01:11:00.000000000Z,1,2025-02-03T01:12:00.000000Z
AEVO/EUR,0.1773,0.1773,0.1773,0.1773,1,1615.22757,0.1773,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
