symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AGLD/EUR,1.478,1.5255,1.478,1.5255,4,419.47857074,1.4926,2025-01-31T01:27:00.000000000Z,1,2025-01-31T01:28:00.000000Z
AGLD/EUR,1.488,1.488,1.488,1.488,1,13.07937,1.488,2025-01-31T05:07:00.000000000Z,1,2025-01-31T05:08:00.000000Z
AGLD/EUR,1.441,1.441,1.4409,1.4409,2,430.92703091,1.4409,2025-02-01T02:37:00.000000000Z,1,2025-02-01T02:38:00.000000Z
AGLD/EUR,1.4207,1.4207,1.4207,1.4207,1,3.30325585,1.4207,2025-02-01T06:44:00.000000000Z,1,2025-02-01T06:45:00.000000Z
AGLD/EUR,1.3871,1.3871,1.3871,1.3871,1,109.565775,1.3871,2025-02-01T07:57:00.000000000Z,1,2025-02-01T07:58:00.000000Z
AGLD/EUR,1.3505,1.3505,1.3482,1.3482,2,911.74892223,1.3485,2025-02-01T13:52:00.000000000Z,1,2025-02-01T13:53:00.000000Z
AGLD/EUR,1.343,1.343,1.343,1.343,1,73.35977,1.343,2025-02-01T15:23:00.000000000Z,1,2025-02-01T15:24:00.000000Z
AGLD/EUR,1.3586,1.3588,1.3586,1.3588,2,28.54590931,1.3586,2025-02-01T16:07:00.000000000Z,1,2025-02-01T16:08:00.000000Z
AGLD/EUR,1.313,1.313,1.313,1.313,1,7.6395,1.313,2025-02-01T19:13:00.000000000Z,1,2025-02-01T19:14:00.000000Z
AGLD/EUR,1.2916,1.2916,1.2916,1.2916,1,14.52675901,1.2916,2025-02-01T19:57:00.000000000Z,1,2025-02-01T19:58:00.000000Z
