symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AGLD/USD,1.3694,1.3694,1.3694,1.3694,1,58.41974587,1.3694,2025-02-01T18:50:00.000000000Z,1,2025-02-01T18:51:00.000000Z
AGLD/USD,1.3652,1.3652,1.3652,1.3652,1,14.64986815,1.3652,2025-02-01T18:59:00.000000000Z,1,2025-02-01T19:00:00.000000Z
AGLD/USD,1.357,1.357,1.357,1.357,1,7.64708916,1.357,2025-02-01T19:13:00.000000000Z,1,2025-02-01T19:14:00.000000Z
AGLD/USD,1.3516,1.3516,1.3516,1.3516,1,14.81920569,1.3516,2025-02-01T19:28:00.000000000Z,1,2025-02-01T19:29:00.000000Z
AGLD/USD,1.3405,1.3405,1.3405,1.3405,1,14.52675901,1.3405,2025-02-01T19:57:00.000000000Z,1,2025-02-01T19:58:00.000000Z
AGLD/USD,1.3286,1.3286,1.3286,1.3286,1,77.0,1.3286,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
AGLD/USD,1.3214,1.3214,1.319,1.319,2,187.15855321,1.3211,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
AGLD/USD,1.3114,1.3114,1.3114,1.3114,1,13.29068439,1.3114,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
AGLD/USD,1.3085,1.3085,1.3085,1.3085,1,14.85310556,1.3085,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
AGLD/USD,1.3072,1.3072,1.3072,1.3072,1,113.0,1.3072,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
