symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AI16Z/EUR,0.3097,0.3113,0.3059,0.3059,7,10920.6371,0.3096,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3097,0.3113,0.3087,0.3109,6,9360.52646,0.3102,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3097,0.3113,0.3087,0.3112,5,8234.55212,0.3101,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3097,0.3113,0.3087,0.3113,4,6664.81091,0.3098,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3097,0.3101,0.3087,0.3101,3,5523.17576,0.3095,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3097,0.3097,0.3087,0.3087,2,3160.33154,0.3091,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3097,0.3097,0.3097,0.3097,1,1577.97122,0.3097,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AI16Z/EUR,0.3234,0.3234,0.3144,0.3192,5,6431.18148,0.3202,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
AI16Z/EUR,0.3234,0.3234,0.3144,0.3144,4,5828.75403,0.3203,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
AI16Z/EUR,0.3234,0.3234,0.3214,0.3214,3,4275.48197,0.3225,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
AI16Z/EUR,0.3234,0.3234,0.3227,0.3227,2,3024.20805,0.323,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
AI16Z/EUR,0.3234,0.3234,0.3234,0.3234,1,1510.25912,0.3234,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
AI16Z/EUR,0.3273,0.3273,0.3262,0.3262,4,6727.20311,0.3267,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AI16Z/EUR,0.3273,0.3273,0.3264,0.3264,3,4480.89093,0.3269,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AI16Z/EUR,0.3273,0.3273,0.3273,0.3273,2,2984.59429,0.3273,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AI16Z/EUR,0.3273,0.3273,0.3273,0.3273,1,1492.29731,0.3273,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
AI16Z/EUR,0.321,0.3257,0.3177,0.3257,19,30019.01885,0.3207,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.3239,0.3177,0.3239,18,28519.57928,0.3205,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.3236,0.3177,0.3236,17,27012.10168,0.3203,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.323,0.3177,0.3217,16,25503.31142,0.3201,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.323,0.3177,0.3221,15,23985.05664,0.32,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.323,0.3177,0.3225,14,22468.36515,0.3198,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.323,0.3177,0.323,13,20953.93774,0.3197,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
AI16Z/EUR,0.321,0.321,0.3177,0.3205,12,19442.23264,0.3194,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
