symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AIR/USD,0.01301,0.01301,0.01301,0.01301,1,4773.42726441,0.01301,2025-02-01T12:49:00.000000000Z,1,2025-02-01T12:50:00.000000Z
AIR/USD,0.013,0.013,0.013,0.013,1,32317.50614,0.013,2025-02-01T15:07:00.000000000Z,1,2025-02-01T15:08:00.000000Z
AIR/USD,0.013,0.013,0.013,0.013,1,4781.55811,0.013,2025-02-01T15:35:00.000000000Z,1,2025-02-01T15:36:00.000000Z
AIR/USD,0.01302,0.01302,0.01302,0.01302,1,405.52968,0.01302,2025-02-01T16:34:00.000000000Z,1,2025-02-01T16:35:00.000000Z
AIR/USD,0.01336,0.01336,0.01336,0.01336,1,2245.50898204,0.01336,2025-02-01T17:54:00.000000000Z,1,2025-02-01T17:55:00.000000Z
AIR/USD,0.01302,0.01302,0.013,0.013,3,44142.16126882,0.01301,2025-02-01T19:02:00.000000000Z,1,2025-02-01T19:03:00.000000Z
AIR/USD,0.013,0.013,0.01282,0.01282,7,15000.0,0.01289,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
AIR/USD,0.01295,0.01295,0.01295,0.01295,1,1516.0043861,0.01295,2025-02-01T20:10:00.000000000Z,1,2025-02-01T20:11:00.000000Z
AIR/USD,0.01286,0.01286,0.012,0.01255,21,78750.33007716,0.01228,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
AIR/USD,0.01242,0.01242,0.01223,0.01223,2,20516.87005,0.01223,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
