symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AKT/EUR,2.3382,2.3427,2.3382,2.3427,4,854.99730652,2.3391,2025-02-01T19:13:00.000000000Z,1,2025-02-01T19:14:00.000000Z
AKT/EUR,2.325,2.325,2.317,2.317,3,344.08602149,2.321,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
AKT/EUR,2.3125,2.3125,2.3125,2.3125,1,1.72972972,2.3125,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
AKT/EUR,2.3078,2.3078,2.3078,2.3078,1,111.03535834,2.3078,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
AKT/EUR,2.3016,2.3016,2.3001,2.3001,2,229.83956,2.3005,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
AKT/EUR,2.3,2.3,2.3,2.3,3,168.08384443,2.3,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
AKT/EUR,2.3026,2.3026,2.3026,2.3026,1,217.14583514,2.3026,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
AKT/EUR,2.3002,2.3002,2.3,2.3,2,114.26719722,2.3001,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
AKT/EUR,2.3,2.3,2.2975,2.2975,6,622.15919413,2.2983,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
AKT/EUR,2.289,2.289,2.289,2.289,1,6.20553707,2.289,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
