symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ALGO/ETH,0.0001129,0.0001129,0.0001129,0.0001129,1,334.78071175,0.0001129,2025-02-01T13:53:00.000000000Z,1,2025-02-01T13:54:00.000000Z
ALGO/ETH,0.0001126,0.0001126,0.0001126,0.0001126,1,82.1414315,0.0001126,2025-02-01T13:58:00.000000000Z,1,2025-02-01T13:59:00.000000Z
ALGO/ETH,0.0001125,0.0001125,0.0001125,0.0001125,1,88.38555322,0.0001125,2025-02-01T13:59:00.000000000Z,1,2025-02-01T14:00:00.000000Z
ALGO/ETH,0.0001123,0.0001123,0.0001122,0.0001122,2,348.7887456,0.0001122,2025-02-01T17:15:00.000000000Z,1,2025-02-01T17:16:00.000000Z
ALGO/ETH,0.0001122,0.0001122,0.0001122,0.0001122,1,519.22086,0.0001122,2025-02-01T17:52:00.000000000Z,1,2025-02-01T17:53:00.000000Z
ALGO/ETH,0.0001122,0.0001122,0.0001122,0.0001122,1,95.79158373,0.0001122,2025-02-01T18:02:00.000000000Z,1,2025-02-01T18:03:00.000000Z
ALGO/ETH,0.0001122,0.0001122,0.0001122,0.0001122,1,4.0,0.0001122,2025-02-01T18:15:00.000000000Z,1,2025-02-01T18:16:00.000000Z
ALGO/ETH,0.0001115,0.0001115,0.0001115,0.0001115,1,387.59351291,0.0001115,2025-02-01T18:53:00.000000000Z,1,2025-02-01T18:54:00.000000Z
ALGO/ETH,0.0001112,0.0001112,0.0001112,0.0001112,1,673.91116,0.0001112,2025-02-01T19:04:00.000000000Z,1,2025-02-01T19:05:00.000000Z
ALGO/ETH,0.0001118,0.0001118,0.0001118,0.0001118,1,1000.0,0.0001118,2025-02-01T19:59:00.000000000Z,1,2025-02-01T20:00:00.000000Z
