symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ALICE/USD,0.629,0.629,0.622,0.622,2,150.0,0.623,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALICE/USD,0.629,0.629,0.629,0.629,1,31.0,0.629,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALICE/USD,0.7,0.7,0.697,0.697,3,304.94391457,0.699,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
ALICE/USD,0.741,0.741,0.74,0.74,3,26.75675675,0.74,2025-02-03T00:24:00.000000000Z,1,2025-02-03T00:25:00.000000Z
ALICE/USD,0.78,0.78,0.78,0.78,1,1.42238482,0.78,2025-02-02T21:50:00.000000000Z,1,2025-02-02T21:51:00.000000Z
ALICE/USD,0.78,0.78,0.78,0.78,1,11.398128,0.78,2025-02-02T21:08:00.000000000Z,1,2025-02-02T21:09:00.000000Z
ALICE/USD,0.844,0.844,0.844,0.844,1,88.83672985,0.844,2025-02-02T20:11:00.000000000Z,1,2025-02-02T20:12:00.000000Z
ALICE/USD,0.779,0.779,0.779,0.779,1,224.35347189,0.779,2025-02-02T17:40:00.000000000Z,1,2025-02-02T17:41:00.000000Z
ALICE/USD,0.811,0.811,0.81,0.81,4,227.79426717,0.81,2025-02-02T17:21:00.000000000Z,1,2025-02-02T17:22:00.000000Z
ALICE/USD,0.855,0.855,0.855,0.855,1,4.17462868,0.855,2025-02-02T14:31:00.000000000Z,1,2025-02-02T14:32:00.000000Z
ALICE/USD,0.884,0.884,0.884,0.884,1,3.79407,0.884,2025-02-02T08:34:00.000000000Z,1,2025-02-02T08:35:00.000000Z
ALICE/USD,0.871,0.871,0.871,0.871,1,36.8441,0.871,2025-02-02T07:07:00.000000000Z,1,2025-02-02T07:08:00.000000Z
