symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ALPHA/EUR,0.06461,0.06461,0.06461,0.06461,1,1600.05308776,0.06461,2025-01-31T16:46:00.000000000Z,1,2025-01-31T16:47:00.000000Z
ALPHA/EUR,0.06276,0.06276,0.06276,0.06276,3,1663.1612492,0.06276,2025-01-31T17:20:00.000000000Z,1,2025-01-31T17:21:00.000000Z
ALPHA/EUR,0.0614,0.0614,0.0614,0.0614,1,41.275,0.0614,2025-01-31T17:58:00.000000000Z,1,2025-01-31T17:59:00.000000Z
ALPHA/EUR,0.06185,0.06185,0.06185,0.06185,1,1807.65781484,0.06185,2025-01-31T19:30:00.000000000Z,1,2025-01-31T19:31:00.000000Z
ALPHA/EUR,0.06156,0.06156,0.06156,0.06156,1,703.977,0.06156,2025-01-31T20:08:00.000000000Z,1,2025-01-31T20:09:00.000000Z
ALPHA/EUR,0.06193,0.06193,0.06193,0.06193,1,6244.87351655,0.06193,2025-02-01T00:58:00.000000000Z,1,2025-02-01T00:59:00.000000Z
ALPHA/EUR,0.06198,0.06199,0.06198,0.06199,2,51918.0,0.06198,2025-02-01T07:00:00.000000000Z,1,2025-02-01T07:01:00.000000Z
ALPHA/EUR,0.06008,0.06008,0.06008,0.06008,1,166.44474034,0.06008,2025-02-01T09:48:00.000000000Z,1,2025-02-01T09:49:00.000000Z
ALPHA/EUR,0.0609,0.0609,0.0609,0.0609,1,94.352,0.0609,2025-02-01T13:31:00.000000000Z,1,2025-02-01T13:32:00.000000Z
ALPHA/EUR,0.05701,0.05702,0.05701,0.05702,2,3456.168,0.05701,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
