symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ALT/EUR,0.0465,0.0467,0.0464,0.0464,6,7403.29654,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALT/EUR,0.0465,0.0467,0.0465,0.0467,5,5948.10201,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALT/EUR,0.0465,0.0465,0.0465,0.0465,4,5201.22515,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALT/EUR,0.0465,0.0465,0.0465,0.0465,3,4442.77995,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALT/EUR,0.0465,0.0465,0.0465,0.0465,2,2961.8533,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALT/EUR,0.0465,0.0465,0.0465,0.0465,1,1480.92665,0.0465,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ALT/EUR,0.05,0.05,0.0492,0.0492,6,4917.99995,0.0495,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
ALT/EUR,0.0532,0.0532,0.0532,0.0532,12,2415.47266,0.0532,2025-02-02T23:40:00.000000000Z,1,2025-02-02T23:41:00.000000Z
ALT/EUR,0.0515,0.0515,0.0514,0.0514,11,6350.40359,0.0514,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
ALT/EUR,0.0555,0.0555,0.0555,0.0555,1,1720.8828,0.0555,2025-02-02T21:21:00.000000000Z,1,2025-02-02T21:22:00.000000Z
ALT/EUR,0.0555,0.0555,0.0555,0.0555,1,80.919,0.0555,2025-02-02T21:06:00.000000000Z,1,2025-02-02T21:07:00.000000Z
ALT/EUR,0.0568,0.0568,0.0568,0.0568,4,5281.69014,0.0568,2025-02-02T20:32:00.000000000Z,1,2025-02-02T20:33:00.000000Z
ALT/EUR,0.056,0.056,0.056,0.056,5,4316.442,0.056,2025-02-02T19:45:00.000000000Z,1,2025-02-02T19:46:00.000000Z
ALT/EUR,0.0549,0.0549,0.0549,0.0549,2,275.86678,0.0549,2025-02-02T19:33:00.000000000Z,1,2025-02-02T19:34:00.000000Z
ALT/EUR,0.0564,0.0564,0.0564,0.0564,1,189.926,0.0564,2025-02-02T18:33:00.000000000Z,1,2025-02-02T18:34:00.000000Z
ALT/EUR,0.0605,0.0605,0.0605,0.0605,1,129.02,0.0605,2025-02-02T17:00:00.000000000Z,1,2025-02-02T17:01:00.000000Z
