symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ANKR/EUR,0.02646,0.02646,0.02643,0.02643,2,252.0,0.02644,2025-02-01T19:02:00.000000000Z,1,2025-02-01T19:03:00.000000Z
ANKR/EUR,0.02631,0.02631,0.02631,0.02631,1,9502.0904599,0.02631,2025-02-01T19:14:00.000000000Z,1,2025-02-01T19:15:00.000000Z
ANKR/EUR,0.02622,0.02622,0.02622,0.02622,1,11442.0,0.02622,2025-02-01T19:25:00.000000000Z,1,2025-02-01T19:26:00.000000Z
ANKR/EUR,0.0261,0.0261,0.0261,0.0261,1,2375.4789272,0.0261,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
ANKR/EUR,0.02596,0.02596,0.02596,0.02596,1,11556.0,0.02596,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
ANKR/EUR,0.02591,0.02591,0.02587,0.02587,2,10573.05978395,0.0259,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
ANKR/EUR,0.02585,0.02585,0.02585,0.02585,1,3000.0,0.02585,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
ANKR/EUR,0.02591,0.02591,0.02591,0.02591,1,10000.0,0.02591,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
ANKR/EUR,0.02588,0.02588,0.02585,0.02585,2,24742.4,0.02586,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
ANKR/EUR,0.02589,0.02589,0.02587,0.02587,2,24742.4,0.02587,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
