symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
APE/EUR,0.9272,0.9272,0.9272,0.9272,1,15.22110517,0.9272,2025-02-01T18:02:00.000000000Z,1,2025-02-01T18:03:00.000000Z
APE/EUR,0.9238,0.9238,0.9222,0.9222,2,147.3,0.9237,2025-02-01T18:03:00.000000000Z,1,2025-02-01T18:04:00.000000Z
APE/EUR,0.9216,0.9216,0.9216,0.9216,1,4.87793457,0.9216,2025-02-01T18:07:00.000000000Z,1,2025-02-01T18:08:00.000000Z
APE/EUR,0.9131,0.9132,0.9131,0.9132,2,22.3404,0.9131,2025-02-01T18:49:00.000000000Z,1,2025-02-01T18:50:00.000000Z
APE/EUR,0.9048,0.9048,0.9047,0.9047,3,23.32913852,0.9047,2025-02-01T19:18:00.000000000Z,1,2025-02-01T19:19:00.000000Z
APE/EUR,0.9,0.9,0.9,0.9,1,111.11111111,0.9,2025-02-01T19:25:00.000000000Z,1,2025-02-01T19:26:00.000000Z
APE/EUR,0.896,0.8971,0.896,0.8971,3,66.95260734,0.8968,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
APE/EUR,0.8951,0.8952,0.8951,0.8952,2,51.80295,0.8951,2025-02-01T19:44:00.000000000Z,1,2025-02-01T19:45:00.000000Z
APE/EUR,0.891,0.891,0.891,0.891,1,3.3,0.891,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
APE/EUR,0.8875,0.8875,0.8875,0.8875,1,170.95087449,0.8875,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
