symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
APE/USDT,0.9365,0.9365,0.9365,0.9365,1,53.37318531,0.9365,2025-02-01T19:19:00.000000000Z,1,2025-02-01T19:20:00.000000Z
APE/USDT,0.9307,0.9307,0.9307,0.9307,1,8.40071847,0.9307,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
APE/USDT,0.9307,0.9307,0.9306,0.9306,2,90.17324234,0.9306,2025-02-01T19:31:00.000000000Z,1,2025-02-01T19:32:00.000000Z
APE/USDT,0.9298,0.9298,0.9251,0.9251,4,696.80668503,0.9259,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
APE/USDT,0.9218,0.9218,0.9218,0.9218,1,7.91815759,0.9218,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
APE/USDT,0.9211,0.9211,0.9211,0.9211,1,9.03760934,0.9211,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
APE/USDT,0.9176,0.9176,0.9176,0.9176,1,107.36941,0.9176,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
APE/USDT,0.9169,0.9169,0.9169,0.9169,1,92.09624096,0.9169,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
APE/USDT,0.9164,0.9164,0.9161,0.9161,2,58.93952761,0.9162,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
APE/USDT,0.9131,0.9131,0.9131,0.9131,1,7.99360164,0.9131,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
