symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
API3/EUR,0.828,0.828,0.828,0.828,1,205.66708716,0.828,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
API3/EUR,0.89,0.89,0.89,0.89,1,30.0,0.89,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
API3/EUR,0.899,0.899,0.899,0.899,1,93.92471132,0.899,2025-02-03T01:13:00.000000000Z,1,2025-02-03T01:14:00.000000Z
API3/EUR,0.893,0.908,0.893,0.908,3,123.60312976,0.896,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
API3/EUR,0.893,0.893,0.893,0.893,1,93.99832088,0.893,2025-02-03T01:09:00.000000000Z,1,2025-02-03T01:10:00.000000Z
API3/EUR,0.893,0.893,0.893,0.893,1,53.99832088,0.893,2025-02-03T01:06:00.000000000Z,1,2025-02-03T01:07:00.000000Z
API3/EUR,0.88,0.88,0.88,0.88,1,10.0,0.88,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
API3/EUR,0.983,0.983,0.983,0.983,1,18.54292,0.983,2025-02-02T23:52:00.000000000Z,1,2025-02-02T23:53:00.000000Z
API3/EUR,0.917,0.917,0.917,0.917,1,7.48687257,0.917,2025-02-02T23:36:00.000000000Z,1,2025-02-02T23:37:00.000000Z
API3/EUR,0.95,0.95,0.95,0.95,1,78.89010526,0.95,2025-02-02T23:15:00.000000000Z,1,2025-02-02T23:16:00.000000Z
API3/EUR,0.896,0.896,0.883,0.883,3,77.37814285,0.888,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
