symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
API3/USD,1.147,1.147,1.146,1.146,3,52.3424,1.146,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
API3/USD,1.147,1.15,1.147,1.149,18,355.4804,1.149,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
API3/USD,1.149,1.149,1.149,1.149,1,17.3908,1.149,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
API3/USD,1.148,1.148,1.147,1.147,3,141.0976,1.147,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
API3/USD,1.146,1.146,1.146,1.146,2,93.7394,1.146,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
API3/USD,1.145,1.145,1.145,1.145,1,47.2636,1.145,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
API3/USD,1.147,1.147,1.147,1.147,1,17.4435,1.147,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
API3/USD,1.145,1.145,1.145,1.145,2,36.23566787,1.145,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
API3/USD,1.145,1.145,1.145,1.145,1,47.2618,1.145,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
API3/USD,1.143,1.143,1.143,1.143,2,109.10931138,1.143,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
