symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
APU/EUR,0.0003188,0.0003188,0.0003181,0.0003181,2,165232.1,0.0003185,2025-02-01T19:34:00.000000000Z,1,2025-02-01T19:35:00.000000Z
APU/EUR,0.0003147,0.0003147,0.0003147,0.0003147,1,752500.0,0.0003147,2025-02-01T19:47:00.000000000Z,1,2025-02-01T19:48:00.000000Z
APU/EUR,0.0003146,0.0003146,0.0003146,0.0003146,1,770775.03642,0.0003146,2025-02-01T19:50:00.000000000Z,1,2025-02-01T19:51:00.000000Z
APU/EUR,0.0003129,0.0003129,0.0003129,0.0003129,1,782992.69599,0.0003129,2025-02-01T19:55:00.000000000Z,1,2025-02-01T19:56:00.000000Z
APU/EUR,0.0003102,0.0003102,0.00031,0.00031,5,2060026.78973,0.0003101,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
APU/EUR,0.00031,0.00031,0.00031,0.00031,1,322937.73666,0.00031,2025-02-01T20:11:00.000000000Z,1,2025-02-01T20:12:00.000000Z
APU/EUR,0.0003097,0.0003097,0.0003096,0.0003096,2,1247444.8793,0.0003096,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
APU/EUR,0.0003099,0.0003099,0.0003099,0.0003099,1,778825.0536,0.0003099,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
APU/EUR,0.0003068,0.0003068,0.0003068,0.0003068,1,154456.64549,0.0003068,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
APU/EUR,0.0003031,0.0003031,0.0003031,0.0003031,1,806091.34332,0.0003031,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
