symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
APU/USD,0.0003158,0.0003158,0.0003141,0.0003141,4,4375542.24101,0.0003144,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
APU/USD,0.0003156,0.0003156,0.0003156,0.0003156,1,832351.81048,0.0003156,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
APU/USD,0.0003145,0.0003145,0.0003132,0.0003132,2,855635.89927,0.0003144,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
APU/USD,0.0003124,0.0003124,0.0003124,0.0003124,1,96638.0,0.0003124,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
APU/USD,0.0003135,0.0003135,0.0003135,0.0003135,1,797448.16586,0.0003135,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
APU/USD,0.0003125,0.0003131,0.0003121,0.0003126,5,4948291.06349,0.0003125,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
APU/USD,0.0003127,0.0003127,0.0003127,0.0003127,1,819771.56031,0.0003127,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
APU/USD,0.0003132,0.0003133,0.0003132,0.0003133,2,202508.29868,0.0003132,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
APU/USD,0.0003126,0.0003137,0.0003126,0.0003137,2,967050.08983,0.0003126,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
APU/USD,0.0003127,0.0003135,0.0003127,0.0003135,3,1978612.76319,0.000313,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
