symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ARKM/EUR,1.0825,1.0825,1.0825,1.0825,1,2.4,1.0825,2025-02-01T10:03:00.000000000Z,1,2025-02-01T10:04:00.000000Z
ARKM/EUR,1.0921,1.0921,1.0921,1.0921,1,2.4,1.0921,2025-02-01T10:34:00.000000000Z,1,2025-02-01T10:35:00.000000Z
ARKM/EUR,1.0945,1.0945,1.0945,1.0945,1,2.4,1.0945,2025-02-01T10:39:00.000000000Z,1,2025-02-01T10:40:00.000000Z
ARKM/EUR,1.0881,1.0881,1.0881,1.0881,1,2.4,1.0881,2025-02-01T10:54:00.000000000Z,1,2025-02-01T10:55:00.000000Z
ARKM/EUR,1.0811,1.0812,1.0811,1.0812,2,498.7281,1.0811,2025-02-01T14:19:00.000000000Z,1,2025-02-01T14:20:00.000000Z
ARKM/EUR,1.0804,1.0804,1.0803,1.0803,3,1805.32211,1.0803,2025-02-01T14:46:00.000000000Z,1,2025-02-01T14:47:00.000000Z
ARKM/EUR,1.07,1.07,1.07,1.07,1,17.91573,1.07,2025-02-01T15:02:00.000000000Z,1,2025-02-01T15:03:00.000000Z
ARKM/EUR,1.0738,1.0739,1.0738,1.0739,2,19.0,1.0738,2025-02-01T16:32:00.000000000Z,1,2025-02-01T16:33:00.000000Z
ARKM/EUR,1.0665,1.0665,1.0665,1.0665,1,19.10034,1.0665,2025-02-01T17:51:00.000000000Z,1,2025-02-01T17:52:00.000000Z
ARKM/EUR,1.02,1.02,1.02,1.02,1,719.84313,1.02,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
