symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ARKM/USD,1.1017,1.1018,1.1017,1.1018,2,87.8778,1.1017,2025-02-01T18:35:00.000000000Z,1,2025-02-01T18:36:00.000000Z
ARKM/USD,1.0956,1.0956,1.0956,1.0956,1,2.4,1.0956,2025-02-01T18:49:00.000000000Z,1,2025-02-01T18:50:00.000000Z
ARKM/USD,1.0935,1.0935,1.0926,1.0926,3,23.15786,1.0927,2025-02-01T18:52:00.000000000Z,1,2025-02-01T18:53:00.000000Z
ARKM/USD,1.0876,1.0876,1.0876,1.0876,1,6.86039,1.0876,2025-02-01T18:56:00.000000000Z,1,2025-02-01T18:57:00.000000Z
ARKM/USD,1.0897,1.0898,1.0897,1.0898,2,542.6287,1.0897,2025-02-01T19:00:00.000000000Z,1,2025-02-01T19:01:00.000000Z
ARKM/USD,1.0864,1.0865,1.0864,1.0865,3,705.9,1.0864,2025-02-01T19:05:00.000000000Z,1,2025-02-01T19:06:00.000000Z
ARKM/USD,1.0715,1.0715,1.0715,1.0715,1,6.86053,1.0715,2025-02-01T19:40:00.000000000Z,1,2025-02-01T19:41:00.000000Z
ARKM/USD,1.0713,1.0713,1.0713,1.0713,1,9.3425,1.0713,2025-02-01T19:42:00.000000000Z,1,2025-02-01T19:43:00.000000Z
ARKM/USD,1.0614,1.0614,1.0614,1.0614,1,4.23968,1.0614,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
ARKM/USD,1.0565,1.0565,1.0556,1.0556,2,14.06064,1.056,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
