symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ARPA/EUR,0.04444,0.04444,0.04444,0.04444,1,217.41305,0.04444,2025-02-01T19:41:00.000000000Z,1,2025-02-01T19:42:00.000000Z
ARPA/EUR,0.04423,0.04423,0.04423,0.04423,3,5759.41273002,0.04423,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
ARPA/EUR,0.04648,0.04648,0.04648,0.04648,1,596.43287435,0.04648,2025-02-01T19:57:00.000000000Z,1,2025-02-01T19:58:00.000000Z
ARPA/EUR,0.04648,0.04648,0.04648,0.04648,1,4650.67771084,0.04648,2025-02-01T19:58:00.000000000Z,1,2025-02-01T19:59:00.000000Z
ARPA/EUR,0.04648,0.04648,0.04648,0.04648,1,0.05333988,0.04648,2025-02-01T19:59:00.000000000Z,1,2025-02-01T20:00:00.000000Z
ARPA/EUR,0.04527,0.04527,0.04526,0.04526,2,5425.60519148,0.04526,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
ARPA/EUR,0.04486,0.04486,0.04484,0.04486,5,16578.48327166,0.04485,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
ARPA/EUR,0.04485,0.04485,0.04471,0.04472,7,7893.29382859,0.04475,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
ARPA/EUR,0.04577,0.04577,0.04577,0.04577,5,567.64487184,0.04577,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
ARPA/EUR,0.04737,0.04737,0.04736,0.04736,2,874.62999,0.04736,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
