symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ARPA/USD,0.049,0.05,0.04838,0.05,8,15883.43044224,0.04922,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
ARPA/USD,0.04989,0.05073,0.04912,0.0501,12,30980.08555954,0.05054,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
ARPA/USD,0.0495,0.0495,0.0478,0.0478,8,1836.99999999,0.04852,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
ARPA/USD,0.04779,0.04786,0.04779,0.04786,2,861.03302,0.04783,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
ARPA/USD,0.04774,0.04893,0.04774,0.04893,4,1630.05448306,0.04883,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
ARPA/USD,0.04826,0.05005,0.04823,0.05005,10,9774.82738122,0.04883,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
ARPA/USD,0.04854,0.04854,0.04851,0.04851,4,4312.0,0.04853,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
ARPA/USD,0.04969,0.05,0.04913,0.04913,4,2278.10945262,0.04968,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
ARPA/USD,0.05003,0.051,0.04985,0.05098,9,5087.9611268,0.0506,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
ARPA/USD,0.05081,0.05196,0.04969,0.05134,44,78896.85539673,0.05079,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
