symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ATLAS/USD,0.00215,0.00215,0.00213,0.00213,2,30000.0,0.00214,2025-02-01T17:15:00.000000000Z,1,2025-02-01T17:16:00.000000Z
ATLAS/USD,0.00217,0.00217,0.00215,0.00215,4,72000.0,0.00216,2025-02-01T17:36:00.000000000Z,1,2025-02-01T17:37:00.000000Z
ATLAS/USD,0.00214,0.00214,0.00214,0.00214,2,74539.20560747,0.00214,2025-02-01T19:15:00.000000000Z,1,2025-02-01T19:16:00.000000Z
ATLAS/USD,0.0021,0.0021,0.0021,0.0021,2,4451.41151,0.0021,2025-02-01T19:48:00.000000000Z,1,2025-02-01T19:49:00.000000Z
ATLAS/USD,0.00212,0.00213,0.00212,0.00213,3,56632.0,0.00212,2025-02-01T19:58:00.000000000Z,1,2025-02-01T19:59:00.000000Z
ATLAS/USD,0.00211,0.00211,0.00211,0.00211,1,15716.01368731,0.00211,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
ATLAS/USD,0.0021,0.0021,0.0021,0.0021,1,11535.0,0.0021,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
ATLAS/USD,0.0021,0.0021,0.0021,0.0021,1,607.85714285,0.0021,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
ATLAS/USD,0.00209,0.00209,0.00209,0.00209,2,14746.0,0.00209,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
ATLAS/USD,0.0021,0.00211,0.0021,0.00211,3,54798.31078,0.0021,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
