symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ATOM/ETH,0.001639,0.001664,0.001639,0.001664,9,192.9525792,0.001642,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.001663,0.001639,0.001663,8,179.96954735,0.001641,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.001656,0.001639,0.001656,7,171.54395445,0.00164,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.001649,0.001639,0.001649,6,168.43271527,0.001639,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.001645,0.001639,0.001645,5,167.55329917,0.001639,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.001644,0.001639,0.001644,4,166.1348861,0.001639,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.001643,0.001639,0.001643,3,151.1348861,0.001639,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001639,0.00164,0.001639,0.00164,2,136.1348861,0.001639,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
ATOM/ETH,0.001627,0.001627,0.001627,0.001627,1,1.0,0.001627,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
ATOM/ETH,0.001617,0.001617,0.001617,0.001617,1,6.532523,0.001617,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ATOM/ETH,0.001635,0.001637,0.001635,0.001637,2,17.07446974,0.001635,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ATOM/ETH,0.001635,0.001635,0.001635,0.001635,1,16.06846974,0.001635,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ATOM/ETH,0.001653,0.001653,0.001647,0.001647,3,37.50518313,0.001652,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ATOM/ETH,0.001653,0.001653,0.001653,0.001653,2,36.50518313,0.001653,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ATOM/ETH,0.001644,0.001644,0.001644,0.001644,1,0.5,0.001644,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ATOM/ETH,0.001628,0.001644,0.001628,0.001644,5,50.90405776,0.001629,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ATOM/ETH,0.001628,0.001631,0.001628,0.001631,4,50.40405776,0.001629,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ATOM/ETH,0.001628,0.001631,0.001628,0.001631,3,39.98911187,0.001628,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ATOM/ETH,0.001628,0.001628,0.001628,0.001628,1,28.61673354,0.001628,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ATOM/ETH,0.001627,0.001627,0.001606,0.001606,3,55.37812141,0.001615,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ATOM/ETH,0.001627,0.001627,0.001615,0.001615,2,40.37812141,0.001619,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ATOM/ETH,0.001627,0.001627,0.001627,0.001627,1,14.56241136,0.001627,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ATOM/ETH,0.001615,0.001621,0.001596,0.001616,7,81.01734219,0.001607,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001621,0.001596,0.001621,6,75.27147096,0.001607,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001596,0.001612,5,61.20518916,0.001603,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001596,0.001596,4,46.20518916,0.001601,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001602,0.001602,3,26.08761207,0.001605,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001604,0.001604,2,22.70020169,0.001605,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001615,0.001615,1,3.15303212,0.001615,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ATOM/ETH,0.001615,0.001619,0.001613,0.001617,4,20.62437858,0.001616,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ATOM/ETH,0.001615,0.001619,0.001613,0.001619,3,17.24141226,0.001616,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001613,0.001613,2,11.7970436,0.001614,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ATOM/ETH,0.001615,0.001615,0.001615,0.001615,1,10.7910436,0.001615,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ATOM/ETH,0.001628,0.001628,0.001628,0.001628,1,1.006,0.001628,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
ATOM/ETH,0.001649,0.001649,0.001649,0.001649,2,124.45591645,0.001649,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ATOM/ETH,0.00164,0.001644,0.00164,0.001643,3,30.18222175,0.00164,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
ATOM/ETH,0.001634,0.001634,0.001634,0.001634,1,1.0,0.001634,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
ATOM/ETH,0.001639,0.001639,0.001639,0.001639,1,1.006,0.001639,2025-02-03T01:06:00.000000000Z,1,2025-02-03T01:07:00.000000Z
ATOM/ETH,0.001644,0.001644,0.001644,0.001644,1,1.0,0.001644,2025-02-03T01:05:00.000000000Z,1,2025-02-03T01:06:00.000000Z
ATOM/ETH,0.00166,0.00166,0.00166,0.00166,1,1.0,0.00166,2025-02-03T00:59:00.000000000Z,1,2025-02-03T01:00:00.000000Z
ATOM/ETH,0.001653,0.001661,0.001653,0.001661,5,29.18487742,0.00166,2025-02-03T00:57:00.000000000Z,1,2025-02-03T00:58:00.000000Z
ATOM/ETH,0.001638,0.00164,0.001638,0.00164,2,12.7031143,0.001639,2025-02-03T00:56:00.000000000Z,1,2025-02-03T00:57:00.000000Z
