symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ATOM/EUR,5.7801,5.7801,5.7801,5.7801,1,1.06890283,5.7801,2025-02-01T19:53:00.000000000Z,1,2025-02-01T19:54:00.000000Z
ATOM/EUR,5.7824,5.7824,5.7824,5.7824,1,16.790443,5.7824,2025-02-01T19:54:00.000000000Z,1,2025-02-01T19:55:00.000000Z
ATOM/EUR,5.7684,5.7684,5.7684,5.7684,1,0.9695173,5.7684,2025-02-01T20:00:00.000000000Z,1,2025-02-01T20:01:00.000000Z
ATOM/EUR,5.7556,5.7556,5.7556,5.7556,1,0.513529,5.7556,2025-02-01T20:02:00.000000000Z,1,2025-02-01T20:03:00.000000Z
ATOM/EUR,5.751,5.751,5.751,5.751,1,3.0,5.751,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
ATOM/EUR,5.7357,5.7357,5.7357,5.7357,1,6.00798507,5.7357,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
ATOM/EUR,5.7184,5.7184,5.7184,5.7184,1,0.97799447,5.7184,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
ATOM/EUR,5.7203,5.7203,5.7203,5.7203,1,2.18520007,5.7203,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
ATOM/EUR,5.7198,5.7198,5.7164,5.7164,2,67.731576,5.7172,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
ATOM/EUR,5.7228,5.7228,5.7228,5.7228,1,3.31377292,5.7228,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
