symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AUCTION/EUR,12.291,12.291,12.291,12.291,1,1.29077,12.291,2025-01-31T10:07:00.000000000Z,1,2025-01-31T10:08:00.000000Z
AUCTION/EUR,12.351,12.351,12.351,12.351,1,1.29077,12.351,2025-01-31T10:27:00.000000000Z,1,2025-01-31T10:28:00.000000Z
AUCTION/EUR,12.528,12.528,12.528,12.528,1,1.27897,12.528,2025-01-31T12:02:00.000000000Z,1,2025-01-31T12:03:00.000000Z
AUCTION/EUR,12.465,12.465,12.465,12.465,1,1.29298,12.465,2025-01-31T13:33:00.000000000Z,1,2025-01-31T13:34:00.000000Z
AUCTION/EUR,12.498,12.498,12.498,12.498,1,7.6103,12.498,2025-01-31T14:33:00.000000000Z,1,2025-01-31T14:34:00.000000Z
AUCTION/EUR,12.524,12.524,12.524,12.524,1,1.29298,12.524,2025-01-31T15:51:00.000000000Z,1,2025-01-31T15:52:00.000000Z
AUCTION/EUR,12.484,12.484,12.484,12.484,1,1.03167,12.484,2025-01-31T16:27:00.000000000Z,1,2025-01-31T16:28:00.000000Z
AUCTION/EUR,12.038,12.038,12.038,12.038,1,12.5964,12.038,2025-02-01T03:55:00.000000000Z,1,2025-02-01T03:56:00.000000Z
AUCTION/EUR,11.842,11.842,11.842,11.842,1,0.3,11.842,2025-02-01T09:28:00.000000000Z,1,2025-02-01T09:29:00.000000Z
AUCTION/EUR,11.691,11.691,11.691,11.691,1,0.3,11.691,2025-02-01T09:56:00.000000000Z,1,2025-02-01T09:57:00.000000Z
