symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AUDIO/EUR,0.0825,0.0825,0.0825,0.0825,2,1800.0,0.0825,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AUDIO/EUR,0.0825,0.0825,0.0825,0.0825,1,1012.5,0.0825,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AUDIO/EUR,0.0827,0.0827,0.0827,0.0827,1,58.61664713,0.0827,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
AUDIO/EUR,0.0852,0.0852,0.0852,0.0852,4,3112.68719614,0.0852,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AUDIO/EUR,0.0852,0.0852,0.0852,0.0852,3,2132.13320553,0.0852,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AUDIO/EUR,0.0852,0.0852,0.0852,0.0852,2,1757.84916798,0.0852,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AUDIO/EUR,0.0852,0.0852,0.0852,0.0852,1,1032.01700836,0.0852,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
AUDIO/EUR,0.0831,0.0831,0.0831,0.0831,1,829.87551867,0.0831,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AUDIO/EUR,0.0861,0.0861,0.086,0.086,2,1527.8,0.086,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
AUDIO/EUR,0.0861,0.0861,0.0861,0.0861,1,1450.8,0.0861,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
AUDIO/EUR,0.0936,0.0936,0.091,0.091,3,354.3878202,0.0927,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
AUDIO/EUR,0.0936,0.0936,0.0936,0.0936,2,233.50869933,0.0936,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
AUDIO/EUR,0.095,0.095,0.095,0.095,2,1037.07545,0.095,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
AUDIO/EUR,0.0998,0.0998,0.0998,0.0998,1,49.32312177,0.0998,2025-02-03T01:19:00.000000000Z,1,2025-02-03T01:20:00.000000Z
AUDIO/EUR,0.1004,0.1004,0.1004,0.1004,1,167.40805,0.1004,2025-02-02T23:30:00.000000000Z,1,2025-02-02T23:31:00.000000Z
AUDIO/EUR,0.1,0.1,0.0992,0.0992,2,600.043896,0.0995,2025-02-02T23:24:00.000000000Z,1,2025-02-02T23:25:00.000000Z
AUDIO/EUR,0.1,0.1,0.1,0.1,1,500.0,0.1,2025-02-02T23:08:00.000000000Z,1,2025-02-02T23:09:00.000000Z
AUDIO/EUR,0.1,0.1,0.1,0.1,1,100.0,0.1,2025-02-02T23:07:00.000000000Z,1,2025-02-02T23:08:00.000000Z
AUDIO/EUR,0.1001,0.1001,0.1,0.1,9,4948.4144981,0.1,2025-02-02T22:40:00.000000000Z,1,2025-02-02T22:41:00.000000Z
AUDIO/EUR,0.1026,0.1026,0.1026,0.1026,1,25.0,0.1026,2025-02-02T21:44:00.000000000Z,1,2025-02-02T21:45:00.000000Z
AUDIO/EUR,0.1005,0.1005,0.1004,0.1004,2,2482.56340866,0.1004,2025-02-02T21:33:00.000000000Z,1,2025-02-02T21:34:00.000000Z
