symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AVAX/EUR,22.21,22.21,21.93,21.93,58,1045.68371213,22.15,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.93,21.93,57,1044.30743465,22.15,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,56,1043.18371213,22.15,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,55,1024.75890653,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,54,1024.45325885,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,53,1023.27729351,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,52,1017.66380364,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,51,1016.22503646,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,22.0,50,1014.78626928,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,48,1010.30689928,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,21.96,21.96,47,1008.14310928,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,22.0,22.0,46,1006.70434213,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,22.0,22.0,44,989.85462683,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,22.0,22.0,43,989.35229067,22.16,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,22.0,22.0,40,972.79673,22.17,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,22.0,22.0,37,966.92047,22.17,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/EUR,22.21,22.21,22.0,22.0,36,965.96573237,22.17,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
