symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AVAX/USDC,22.5,22.5,22.22,22.22,2,4.54444444,22.49,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/USDC,22.5,22.5,22.5,22.5,1,4.44444444,22.5,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
AVAX/USDC,22.81,22.81,22.74,22.74,2,5.76314741,22.79,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
AVAX/USDC,22.81,22.81,22.81,22.81,1,4.5397238,22.81,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
AVAX/USDC,23.46,23.46,23.46,23.46,1,0.11744966,23.46,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
AVAX/USDC,23.47,23.47,23.47,23.47,1,5.36576267,23.47,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
AVAX/USDC,24.06,24.06,23.54,23.54,5,214.41814331,23.71,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
AVAX/USDC,24.06,24.06,24.06,24.06,1,5.23418331,24.06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
AVAX/USDC,23.0,23.56,23.0,23.4,9,159.02086201,23.43,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AVAX/USDC,23.0,23.56,23.0,23.42,8,158.9119126,23.43,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AVAX/USDC,23.0,23.56,23.0,23.56,7,140.53056226,23.43,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AVAX/USDC,23.0,23.31,23.0,23.3,5,62.3681582,23.28,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
AVAX/USDC,23.0,23.31,23.0,23.31,4,33.32309436,23.27,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
