symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
AVAX/USDT,32.72,32.72,32.72,32.72,1,11.08453,32.72,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
AVAX/USDT,32.66,32.66,32.66,32.66,1,10.9536562,32.66,2025-02-01T20:15:00.000000000Z,1,2025-02-01T20:16:00.000000Z
AVAX/USDT,32.75,32.75,32.75,32.75,1,1.81360007,32.75,2025-02-01T20:18:00.000000000Z,1,2025-02-01T20:19:00.000000Z
AVAX/USDT,32.65,32.65,32.64,32.64,3,6.11161759,32.64,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
AVAX/USDT,32.6,32.6,32.6,32.6,2,1.27214724,32.6,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
AVAX/USDT,32.55,32.55,32.55,32.55,2,1.27332901,32.55,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
AVAX/USDT,32.54,32.54,32.54,32.54,2,4.2329935,32.54,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
AVAX/USDT,32.53,32.53,32.53,32.53,1,1.58452428,32.53,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
AVAX/USDT,32.5,32.5,32.5,32.5,3,35.27776268,32.5,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
AVAX/USDT,32.46,32.46,32.45,32.45,5,269.0,32.45,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
