symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BAL/USD,2.48,2.48,2.48,2.48,1,143.38597,2.48,2025-02-01T04:34:00.000000000Z,1,2025-02-01T04:35:00.000000Z
BAL/USD,2.48,2.48,2.48,2.48,1,16.19433198,2.48,2025-02-01T05:01:00.000000000Z,1,2025-02-01T05:02:00.000000Z
BAL/USD,2.49,2.49,2.49,2.49,1,3.89909,2.49,2025-02-01T07:02:00.000000000Z,1,2025-02-01T07:03:00.000000Z
BAL/USD,2.43,2.43,2.43,2.43,1,160.25954,2.43,2025-02-01T10:41:00.000000000Z,1,2025-02-01T10:42:00.000000Z
BAL/USD,2.41,2.41,2.41,2.41,1,16.91694,2.41,2025-02-01T13:54:00.000000000Z,1,2025-02-01T13:55:00.000000Z
BAL/USD,2.39,2.39,2.39,2.39,1,1.67364016,2.39,2025-02-01T15:02:00.000000000Z,1,2025-02-01T15:03:00.000000Z
BAL/USD,2.4,2.4,2.4,2.4,1,26.9412864,2.4,2025-02-01T15:06:00.000000000Z,1,2025-02-01T15:07:00.000000Z
BAL/USD,2.38,2.38,2.38,2.38,1,12.60504202,2.38,2025-02-01T18:04:00.000000000Z,1,2025-02-01T18:05:00.000000Z
BAL/USD,2.35,2.35,2.35,2.35,2,13.94662755,2.35,2025-02-01T19:21:00.000000000Z,1,2025-02-01T19:22:00.000000Z
BAL/USD,2.33,2.33,2.32,2.32,3,3.42568646,2.32,2025-02-01T20:02:00.000000000Z,1,2025-02-01T20:03:00.000000Z
