symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BAND/USD,0.837,0.837,0.837,0.837,1,366.32703571,0.837,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BAND/USD,0.859,0.859,0.859,0.859,1,359.05519139,0.859,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
BAND/USD,0.849,0.849,0.844,0.844,2,377.78375021,0.848,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
BAND/USD,0.849,0.849,0.849,0.849,1,357.91175021,0.849,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
BAND/USD,0.866,0.866,0.853,0.857,16,4169.3770949,0.859,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.853,0.857,15,3812.63811725,0.859,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.853,0.857,14,3455.8991396,0.86,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.853,0.855,13,3099.16016195,0.86,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.853,0.856,12,2742.4211843,0.861,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.853,0.856,11,2393.83220665,0.862,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.853,0.853,10,2385.68220665,0.862,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.862,0.862,9,2028.943229,0.863,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.862,0.862,8,1662.78394826,0.863,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.863,0.863,7,1303.06524829,0.864,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.863,0.863,6,1149.76337184,0.864,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.863,0.863,5,1126.76337184,0.864,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.863,0.863,4,1113.76337184,0.864,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.864,0.864,3,943.76337184,0.865,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.865,0.865,2,716.5283024,0.865,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.866,0.866,0.866,0.866,1,358.05718173,0.866,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BAND/USD,0.863,0.863,0.863,0.863,1,558.43741346,0.863,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
BAND/USD,0.836,0.836,0.836,0.836,3,1398.34324,0.836,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
BAND/USD,0.836,0.836,0.836,0.836,2,1323.34324,0.836,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
BAND/USD,0.836,0.836,0.836,0.836,1,763.34324,0.836,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
BAND/USD,0.885,0.885,0.858,0.858,3,91.6846,0.864,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
BAND/USD,0.885,0.885,0.863,0.863,2,30.7546,0.877,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
BAND/USD,0.885,0.885,0.885,0.885,1,19.872,0.885,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
BAND/USD,0.91,0.91,0.908,0.908,3,587.95850372,0.909,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
BAND/USD,0.911,0.911,0.911,0.911,1,20.66,0.911,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
BAND/USD,0.92,0.924,0.92,0.924,2,536.79566115,0.921,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
BAND/USD,0.949,0.949,0.949,0.949,1,197.0419272,0.949,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
BAND/USD,0.969,0.969,0.969,0.969,1,136.24264933,0.969,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
BAND/USD,0.997,0.997,0.997,0.997,1,11.18290258,0.997,2025-02-03T00:07:00.000000000Z,1,2025-02-03T00:08:00.000000Z
BAND/USD,1.008,1.008,1.008,1.008,1,4.88701,1.008,2025-02-03T00:00:00.000000000Z,1,2025-02-03T00:01:00.000000Z
BAND/USD,0.988,0.988,0.988,0.988,1,155.77641752,0.988,2025-02-02T23:40:00.000000000Z,1,2025-02-02T23:41:00.000000Z
BAND/USD,0.986,0.986,0.986,0.986,1,10.48444446,0.986,2025-02-02T23:38:00.000000000Z,1,2025-02-02T23:39:00.000000Z
