symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BCH/ETH,0.1291,0.1291,0.1291,0.1291,1,0.13443571,0.1291,2025-01-31T20:30:00.000000000Z,1,2025-01-31T20:31:00.000000Z
BCH/ETH,0.1271,0.1271,0.1271,0.1271,1,0.07,0.1271,2025-01-31T20:59:00.000000000Z,1,2025-01-31T21:00:00.000000Z
BCH/ETH,0.1284,0.1284,0.1276,0.1276,5,3.0,0.128,2025-01-31T23:33:00.000000000Z,1,2025-01-31T23:34:00.000000Z
BCH/ETH,0.1291,0.1291,0.1291,0.1291,1,0.10677656,0.1291,2025-02-01T00:55:00.000000000Z,1,2025-02-01T00:56:00.000000Z
BCH/ETH,0.129,0.129,0.129,0.129,1,2.87343662,0.129,2025-02-01T02:48:00.000000000Z,1,2025-02-01T02:49:00.000000Z
BCH/ETH,0.1293,0.1293,0.1293,0.1293,2,0.022,0.1293,2025-02-01T03:02:00.000000000Z,1,2025-02-01T03:03:00.000000Z
BCH/ETH,0.1297,0.1297,0.1297,0.1297,1,0.011,0.1297,2025-02-01T03:07:00.000000000Z,1,2025-02-01T03:08:00.000000Z
BCH/ETH,0.1303,0.1303,0.1303,0.1303,1,0.011,0.1303,2025-02-01T06:45:00.000000000Z,1,2025-02-01T06:46:00.000000Z
BCH/ETH,0.1293,0.1293,0.1293,0.1293,1,0.2,0.1293,2025-02-01T15:03:00.000000000Z,1,2025-02-01T15:04:00.000000Z
BCH/ETH,0.1282,0.1282,0.128,0.128,2,0.96572804,0.128,2025-02-01T16:37:00.000000000Z,1,2025-02-01T16:38:00.000000Z
