symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BCH/EUR,288.41,288.41,280.76,280.76,42,149.58691077,287.42,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,281.0,281.0,40,149.52691077,287.42,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,281.0,281.0,39,149.26289614,287.43,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,281.02,281.02,38,148.99835012,287.44,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,281.46,281.46,37,148.98835012,287.44,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,282.02,282.02,36,148.78402221,287.45,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,283.02,283.02,35,148.77402221,287.45,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,284.02,284.02,34,148.76402221,287.45,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,285.02,285.02,33,148.75402221,287.45,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,285.26,285.26,32,148.74402221,287.45,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,285.43,285.43,28,121.24402221,287.92,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,285.43,285.43,26,116.24402221,288.03,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,286.91,286.91,23,114.24402221,288.07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,286.91,286.91,22,102.14402221,288.21,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,286.91,286.91,21,102.04227789,288.21,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,287.08,287.08,19,101.85731304,288.22,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,287.08,287.08,18,101.67172072,288.22,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.02,288.02,17,101.65698514,288.22,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.11,288.11,15,100.12519044,288.22,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.11,288.11,14,98.73855326,288.22,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.11,288.11,13,81.74455326,288.25,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.11,288.11,12,77.63968522,288.25,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.11,288.22,10,64.72971097,288.28,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.11,288.11,9,63.337,288.28,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.2,288.2,6,41.488,288.36,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.2,288.2,5,39.488,288.37,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.4,288.4,3,33.988,288.4,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,288.41,288.41,288.4,288.4,2,16.994,288.4,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BCH/EUR,291.02,293.17,289.02,289.02,16,32.97450852,291.92,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,293.17,289.2,289.2,15,32.96450852,291.92,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,293.17,290.02,290.02,14,30.69105252,292.12,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,293.17,291.02,293.16,13,30.68105252,292.12,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,293.17,291.02,293.17,12,25.46184456,291.91,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,292.05,291.02,292.05,11,23.5513683,291.81,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,291.98,291.02,291.98,10,21.64089204,291.79,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,291.13,291.02,291.1,6,4.68489204,291.11,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,291.13,291.02,291.13,3,2.01,291.12,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,291.13,291.02,291.13,2,1.38706972,291.12,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,291.02,291.02,291.02,291.02,1,0.01,291.02,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.51,15,20.84186208,293.75,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,294.67,14,19.46132904,293.77,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.51,13,19.26132904,293.76,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.51,12,19.24609304,293.76,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.51,11,19.22185945,293.76,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.51,10,19.19592224,293.76,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.51,9,19.16972876,293.76,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.4,293.4,8,18.71053125,293.77,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.5,293.5,6,15.94644582,293.82,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.5,293.5,5,10.94644582,293.97,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,296.58,293.72,296.58,3,8.94644582,294.08,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,293.96,293.72,293.96,2,8.51311249,293.95,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.72,293.72,293.72,293.72,1,0.19992724,293.72,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
BCH/EUR,293.48,293.48,293.48,293.48,1,0.20391926,293.48,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
