symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BCH/JPY,67313.0,67313.0,67312.0,67312.0,2,0.0441647,67312.0,2025-01-31T18:21:00.000000000Z,1,2025-01-31T18:22:00.000000Z
BCH/JPY,66941.0,66941.0,66941.0,66941.0,2,0.04233195,66941.0,2025-01-31T18:35:00.000000000Z,1,2025-01-31T18:36:00.000000Z
BCH/JPY,66118.0,66118.0,66118.0,66118.0,1,0.02689724,66118.0,2025-01-31T20:22:00.000000000Z,1,2025-01-31T20:23:00.000000Z
BCH/JPY,65538.0,65538.0,65538.0,65538.0,1,0.01296761,65538.0,2025-01-31T20:55:00.000000000Z,1,2025-01-31T20:56:00.000000Z
BCH/JPY,65538.0,65538.0,65534.0,65534.0,2,0.04206653,65535.0,2025-01-31T20:56:00.000000000Z,1,2025-01-31T20:57:00.000000Z
BCH/JPY,66371.0,66371.0,66371.0,66371.0,6,2.51196384,66371.0,2025-02-01T02:49:00.000000000Z,1,2025-02-01T02:50:00.000000Z
BCH/JPY,66371.0,66395.0,66371.0,66395.0,3,0.45930794,66375.0,2025-02-01T02:50:00.000000000Z,1,2025-02-01T02:51:00.000000Z
BCH/JPY,66429.0,66429.0,66429.0,66429.0,1,0.03171773,66429.0,2025-02-01T02:55:00.000000000Z,1,2025-02-01T02:56:00.000000Z
BCH/JPY,65609.0,65609.0,65609.0,65609.0,1,0.02780293,65609.0,2025-02-01T13:17:00.000000000Z,1,2025-02-01T13:18:00.000000Z
BCH/JPY,64825.0,64825.0,64825.0,64825.0,2,0.02795855,64825.0,2025-02-01T15:20:00.000000000Z,1,2025-02-01T15:21:00.000000Z
