symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BCH/USDC,423.55,423.55,423.55,423.55,1,0.23609963,423.55,2025-01-31T20:37:00.000000000Z,1,2025-01-31T20:38:00.000000Z
BCH/USDC,428.95,428.95,428.95,428.95,1,2.87343662,428.95,2025-02-01T02:47:00.000000000Z,1,2025-02-01T02:48:00.000000Z
BCH/USDC,429.57,429.57,429.57,429.57,1,0.23279423,429.57,2025-02-01T02:55:00.000000000Z,1,2025-02-01T02:56:00.000000Z
BCH/USDC,429.23,429.23,429.23,429.23,1,0.71085658,429.23,2025-02-01T03:10:00.000000000Z,1,2025-02-01T03:11:00.000000Z
BCH/USDC,429.47,429.47,429.47,429.47,1,0.70914445,429.47,2025-02-01T05:15:00.000000000Z,1,2025-02-01T05:16:00.000000Z
BCH/USDC,416.59,416.59,416.59,416.59,1,0.10000263,416.59,2025-02-01T15:06:00.000000000Z,1,2025-02-01T15:07:00.000000Z
BCH/USDC,415.66,415.66,415.66,415.66,1,0.02311792,415.66,2025-02-01T15:21:00.000000000Z,1,2025-02-01T15:22:00.000000Z
BCH/USDC,417.1,417.1,417.1,417.1,1,3.83743665,417.1,2025-02-01T17:20:00.000000000Z,1,2025-02-01T17:21:00.000000Z
BCH/USDC,415.0,415.0,415.0,415.0,1,0.22334062,415.0,2025-02-01T18:02:00.000000000Z,1,2025-02-01T18:03:00.000000Z
BCH/USDC,409.66,409.66,409.66,409.66,1,1.24249865,409.66,2025-02-01T19:22:00.000000000Z,1,2025-02-01T19:23:00.000000Z
