symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BCH/USDT,410.47,410.47,410.47,410.47,1,0.05510689,410.47,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
BCH/USDT,409.94,409.94,409.94,409.94,1,0.01622886,409.94,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
BCH/USDT,408.76,408.77,408.76,408.77,2,1.00052935,408.76,2025-02-01T19:42:00.000000000Z,1,2025-02-01T19:43:00.000000Z
BCH/USDT,409.0,409.0,409.0,409.0,1,1.0,409.0,2025-02-01T19:50:00.000000000Z,1,2025-02-01T19:51:00.000000Z
BCH/USDT,407.56,407.6,407.55,407.55,5,1.02784102,407.56,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
BCH/USDT,407.15,407.15,407.15,407.15,1,0.012,407.15,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
BCH/USDT,406.75,407.0,406.75,407.0,3,0.28202873,406.96,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
BCH/USDT,406.51,406.52,406.51,406.52,2,0.73710074,406.51,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
BCH/USDT,406.57,406.58,406.57,406.58,2,0.36696343,406.57,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
BCH/USDT,406.04,406.25,405.89,406.25,5,1.03409165,405.91,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
