symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BICO/EUR,0.2374,0.2375,0.2374,0.2375,2,87.66743793,0.2374,2025-01-31T17:36:00.000000000Z,1,2025-01-31T17:37:00.000000Z
BICO/EUR,0.2371,0.2371,0.2371,0.2371,1,44.33042447,0.2371,2025-01-31T17:38:00.000000000Z,1,2025-01-31T17:39:00.000000Z
BICO/EUR,0.2369,0.2369,0.2369,0.2369,5,217.56873672,0.2369,2025-01-31T17:40:00.000000000Z,1,2025-01-31T17:41:00.000000Z
BICO/EUR,0.2351,0.2351,0.2351,0.2351,31,1330.3138775,0.2351,2025-02-01T03:05:00.000000000Z,1,2025-02-01T03:06:00.000000Z
BICO/EUR,0.2351,0.2351,0.2351,0.2351,21,892.90217303,0.2351,2025-02-01T03:07:00.000000000Z,1,2025-02-01T03:08:00.000000Z
BICO/EUR,0.2332,0.2332,0.2332,0.2332,1,63.96883078,0.2332,2025-02-01T07:35:00.000000000Z,1,2025-02-01T07:36:00.000000Z
BICO/EUR,0.2324,0.2324,0.2324,0.2324,1,10.0,0.2324,2025-02-01T07:37:00.000000000Z,1,2025-02-01T07:38:00.000000Z
BICO/EUR,0.2285,0.2285,0.2285,0.2285,1,1758.12963424,0.2285,2025-02-01T14:19:00.000000000Z,1,2025-02-01T14:20:00.000000Z
BICO/EUR,0.2269,0.2269,0.2269,0.2269,1,676.46183402,0.2269,2025-02-01T15:35:00.000000000Z,1,2025-02-01T15:36:00.000000Z
BICO/EUR,0.2172,0.2172,0.2172,0.2172,4,2784.8093759,0.2172,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
