symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BLUR/EUR,0.1882,0.1882,0.1882,0.1882,1,13.0,0.1882,2025-01-31T16:01:00.000000000Z,1,2025-01-31T16:02:00.000000Z
BLUR/EUR,0.1831,0.1831,0.1831,0.1831,1,866.77078,0.1831,2025-01-31T18:06:00.000000000Z,1,2025-01-31T18:07:00.000000Z
BLUR/EUR,0.1838,0.1838,0.1838,0.1838,1,137.427,0.1838,2025-01-31T18:10:00.000000000Z,1,2025-01-31T18:11:00.000000Z
BLUR/EUR,0.1813,0.1813,0.1813,0.1813,1,535.507,0.1813,2025-01-31T19:27:00.000000000Z,1,2025-01-31T19:28:00.000000Z
BLUR/EUR,0.1818,0.1818,0.1818,0.1818,1,2875.0166,0.1818,2025-02-01T01:19:00.000000000Z,1,2025-02-01T01:20:00.000000Z
BLUR/EUR,0.1826,0.1826,0.1826,0.1826,2,3040.21351,0.1826,2025-02-01T01:35:00.000000000Z,1,2025-02-01T01:36:00.000000Z
BLUR/EUR,0.1763,0.1763,0.1763,0.1763,1,1325.32092,0.1763,2025-02-01T12:22:00.000000000Z,1,2025-02-01T12:23:00.000000Z
BLUR/EUR,0.176,0.176,0.176,0.176,1,435.22727,0.176,2025-02-01T13:43:00.000000000Z,1,2025-02-01T13:44:00.000000Z
BLUR/EUR,0.1681,0.1681,0.1681,0.1681,2,2974.41998,0.1681,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
BLUR/EUR,0.1671,0.1671,0.1671,0.1671,1,13.00201,0.1671,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
