symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BNC/EUR,0.152,0.152,0.152,0.152,2,188.32031362,0.152,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BNC/EUR,0.152,0.152,0.152,0.152,1,93.07466274,0.152,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
BNC/EUR,0.156,0.156,0.154,0.154,2,96.69422942,0.154,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
BNC/EUR,0.156,0.156,0.156,0.156,1,6.31552,0.156,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
BNC/EUR,0.156,0.156,0.156,0.156,2,50.39061775,0.156,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
BNC/EUR,0.156,0.156,0.156,0.156,1,28.77701585,0.156,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
BNC/EUR,0.16,0.16,0.16,0.16,1,12.75216987,0.16,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BNC/EUR,0.161,0.161,0.16,0.16,3,155.53913846,0.16,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
BNC/EUR,0.162,0.162,0.162,0.162,2,78.8764831,0.162,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
BNC/EUR,0.162,0.162,0.162,0.162,1,63.66966628,0.162,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
BNC/EUR,0.164,0.164,0.164,0.164,3,196.80062694,0.164,2025-02-03T01:17:00.000000000Z,1,2025-02-03T01:18:00.000000Z
BNC/EUR,0.166,0.166,0.166,0.166,2,47.45868287,0.166,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
BNC/EUR,0.166,0.167,0.166,0.166,4,227.90883379,0.166,2025-02-03T00:52:00.000000000Z,1,2025-02-03T00:53:00.000000Z
BNC/EUR,0.165,0.165,0.165,0.165,1,86.40237528,0.165,2025-02-03T00:51:00.000000000Z,1,2025-02-03T00:52:00.000000Z
BNC/EUR,0.168,0.168,0.168,0.168,2,117.29076062,0.168,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
BNC/EUR,0.168,0.168,0.168,0.168,1,90.9774,0.168,2025-02-02T23:31:00.000000000Z,1,2025-02-02T23:32:00.000000Z
BNC/EUR,0.168,0.168,0.168,0.168,1,18.73183938,0.168,2025-02-02T23:10:00.000000000Z,1,2025-02-02T23:11:00.000000Z
