symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BOBA/EUR,0.1868,0.1868,0.1868,0.1868,2,577.63,0.1868,2025-02-01T03:27:00.000000000Z,1,2025-02-01T03:28:00.000000Z
BOBA/EUR,0.1868,0.1868,0.1868,0.1868,4,576.34,0.1868,2025-02-01T03:29:00.000000000Z,1,2025-02-01T03:30:00.000000Z
BOBA/EUR,0.1917,0.1917,0.1917,0.1917,1,92.283,0.1917,2025-02-01T08:36:00.000000000Z,1,2025-02-01T08:37:00.000000Z
BOBA/EUR,0.1918,0.1918,0.1918,0.1918,1,67.24979,0.1918,2025-02-01T08:43:00.000000000Z,1,2025-02-01T08:44:00.000000Z
BOBA/EUR,0.1872,0.1872,0.1872,0.1872,1,133.951,0.1872,2025-02-01T09:56:00.000000000Z,1,2025-02-01T09:57:00.000000Z
BOBA/EUR,0.1884,0.1884,0.1884,0.1884,1,20.0,0.1884,2025-02-01T10:05:00.000000000Z,1,2025-02-01T10:06:00.000000Z
BOBA/EUR,0.187,0.187,0.187,0.187,1,20.0,0.187,2025-02-01T10:33:00.000000000Z,1,2025-02-01T10:34:00.000000Z
BOBA/EUR,0.1877,0.1877,0.1877,0.1877,1,20.0,0.1877,2025-02-01T10:41:00.000000000Z,1,2025-02-01T10:42:00.000000Z
BOBA/EUR,0.1868,0.1868,0.1868,0.1868,1,20.0,0.1868,2025-02-01T10:53:00.000000000Z,1,2025-02-01T10:54:00.000000Z
BOBA/EUR,0.1803,0.1803,0.1803,0.1803,1,73.38248,0.1803,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
