symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BODEN/EUR,0.0021,0.0021,0.002,0.002,3,22826.80752,0.002,2025-02-01T13:13:00.000000000Z,1,2025-02-01T13:14:00.000000Z
BODEN/EUR,0.0022,0.0022,0.0022,0.0022,1,10400.0,0.0022,2025-02-01T14:05:00.000000000Z,1,2025-02-01T14:06:00.000000Z
BODEN/EUR,0.002,0.002,0.002,0.002,3,35000.0,0.002,2025-02-01T14:15:00.000000000Z,1,2025-02-01T14:16:00.000000Z
BODEN/EUR,0.002,0.002,0.002,0.002,1,7207.78999,0.002,2025-02-01T14:38:00.000000000Z,1,2025-02-01T14:39:00.000000Z
BODEN/EUR,0.002,0.002,0.0019,0.0019,7,40645.60127,0.0019,2025-02-01T14:51:00.000000000Z,1,2025-02-01T14:52:00.000000Z
BODEN/EUR,0.002,0.002,0.002,0.002,1,9930.0,0.002,2025-02-01T15:59:00.000000000Z,1,2025-02-01T16:00:00.000000Z
BODEN/EUR,0.002,0.002,0.002,0.002,1,4830.918,0.002,2025-02-01T16:58:00.000000000Z,1,2025-02-01T16:59:00.000000Z
BODEN/EUR,0.0019,0.0019,0.0019,0.0019,1,9912.126,0.0019,2025-02-01T18:10:00.000000000Z,1,2025-02-01T18:11:00.000000Z
BODEN/EUR,0.0019,0.0019,0.0018,0.0018,7,23291.77892,0.0018,2025-02-01T19:11:00.000000000Z,1,2025-02-01T19:12:00.000000Z
BODEN/EUR,0.0019,0.0019,0.0019,0.0019,3,244683.56141,0.0019,2025-02-01T19:12:00.000000000Z,1,2025-02-01T19:13:00.000000Z
