symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BOND/EUR,0.311,0.311,0.311,0.311,1,360.0,0.311,2025-02-03T01:27:00.000000000Z,1,2025-02-03T01:28:00.000000Z
BOND/EUR,0.311,0.311,0.304,0.304,3,1640.15484385,0.306,2025-02-03T01:26:00.000000000Z,1,2025-02-03T01:27:00.000000Z
BOND/EUR,0.309,0.309,0.309,0.309,1,350.98025188,0.309,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
BOND/EUR,0.311,0.311,0.31,0.31,2,95.62286604,0.31,2025-02-03T00:57:00.000000000Z,1,2025-02-03T00:58:00.000000Z
BOND/EUR,0.314,0.314,0.314,0.314,1,360.0,0.314,2025-02-03T00:39:00.000000000Z,1,2025-02-03T00:40:00.000000Z
BOND/EUR,0.312,0.313,0.312,0.312,6,1477.10634227,0.312,2025-02-03T00:38:00.000000000Z,1,2025-02-03T00:39:00.000000Z
BOND/EUR,0.315,0.315,0.315,0.315,1,0.5548077,0.315,2025-02-02T23:57:00.000000000Z,1,2025-02-02T23:58:00.000000Z
BOND/EUR,0.317,0.317,0.317,0.317,1,34.16114143,0.317,2025-02-02T23:47:00.000000000Z,1,2025-02-02T23:48:00.000000Z
BOND/EUR,0.317,0.317,0.315,0.316,5,459.36072918,0.316,2025-02-02T23:06:00.000000000Z,1,2025-02-02T23:07:00.000000Z
BOND/EUR,0.327,0.327,0.322,0.322,2,47.23788202,0.323,2025-02-02T22:33:00.000000000Z,1,2025-02-02T22:34:00.000000Z
