symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BONK/EUR,2.1515e-05,2.1515e-05,2.1506e-05,2.1506e-05,4,216727105.23817,2.1508e-05,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
BONK/EUR,2.1492e-05,2.1492e-05,2.1395e-05,2.1395e-05,2,2660611.0,2.1461e-05,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
BONK/EUR,2.1493e-05,2.1493e-05,2.1415e-05,2.1415e-05,7,129757897.96647,2.1434e-05,2025-02-01T20:18:00.000000000Z,1,2025-02-01T20:19:00.000000Z
BONK/EUR,2.1351e-05,2.1361e-05,2.1295e-05,2.1361e-05,5,18319538.08566,2.1356e-05,2025-02-01T20:19:00.000000000Z,1,2025-02-01T20:20:00.000000Z
BONK/EUR,2.136e-05,2.136e-05,2.136e-05,2.136e-05,1,15181663.11999,2.136e-05,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
BONK/EUR,2.1272e-05,2.1272e-05,2.1272e-05,2.1272e-05,1,377045.78786,2.1272e-05,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
BONK/EUR,2.1272e-05,2.1272e-05,2.1272e-05,2.1272e-05,1,147504.8081,2.1272e-05,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
BONK/EUR,2.122e-05,2.122e-05,2.122e-05,2.122e-05,5,30000000.0,2.122e-05,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
BONK/EUR,2.1231e-05,2.1232e-05,2.1231e-05,2.1232e-05,2,2796314.0,2.1231e-05,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
BONK/EUR,2.127e-05,2.127e-05,2.127e-05,2.127e-05,1,1455101.08133,2.127e-05,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
