symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BRICK/USD,0.01866,0.01866,0.01865,0.01865,2,3060.0,0.01865,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
BRICK/USD,0.01923,0.01923,0.01867,0.01867,3,1093.2726,0.01893,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
BRICK/USD,0.01923,0.01923,0.01923,0.01923,1,503.65,0.01923,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
BRICK/USD,0.01888,0.01888,0.01865,0.01865,7,7293.89,0.01878,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
BRICK/USD,0.0191,0.0191,0.01907,0.01907,3,4661.23396,0.01909,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
BRICK/USD,0.01909,0.01909,0.01909,0.01909,1,116.36,0.01909,2025-02-03T01:40:00.000000000Z,1,2025-02-03T01:41:00.000000Z
BRICK/USD,0.01942,0.01942,0.01942,0.01942,1,127.02,0.01942,2025-02-03T01:23:00.000000000Z,1,2025-02-03T01:24:00.000000Z
BRICK/USD,0.01895,0.01895,0.01895,0.01895,1,2460.0,0.01895,2025-02-03T01:03:00.000000000Z,1,2025-02-03T01:04:00.000000Z
BRICK/USD,0.01942,0.01942,0.01942,0.01942,1,34.06,0.01942,2025-02-03T00:33:00.000000000Z,1,2025-02-03T00:34:00.000000Z
BRICK/USD,0.01943,0.01943,0.01943,0.01943,1,278.85,0.01943,2025-02-03T00:25:00.000000000Z,1,2025-02-03T00:26:00.000000Z
BRICK/USD,0.01942,0.01942,0.01942,0.01942,1,589.62264,0.01942,2025-02-03T00:12:00.000000000Z,1,2025-02-03T00:13:00.000000Z
BRICK/USD,0.01911,0.01911,0.01911,0.01911,1,3316.5352,0.01911,2025-02-03T00:07:00.000000000Z,1,2025-02-03T00:08:00.000000Z
BRICK/USD,0.01895,0.01895,0.01895,0.01895,1,2214.67,0.01895,2025-02-03T00:02:00.000000000Z,1,2025-02-03T00:03:00.000000Z
BRICK/USD,0.01918,0.01918,0.01918,0.01918,1,6900.0,0.01918,2025-02-02T23:04:00.000000000Z,1,2025-02-02T23:05:00.000000Z
