symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
BTT/EUR,1.01e-06,1.01e-06,1.01e-06,1.01e-06,1,10000000.0,1.01e-06,2025-02-01T18:47:00.000000000Z,1,2025-02-01T18:48:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,1,9124549.6,1e-06,2025-02-01T19:07:00.000000000Z,1,2025-02-01T19:08:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,1,96463000.0,1e-06,2025-02-01T19:11:00.000000000Z,1,2025-02-01T19:12:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,1,5000000.0,1e-06,2025-02-01T19:21:00.000000000Z,1,2025-02-01T19:22:00.000000Z
BTT/EUR,9.9e-07,9.9e-07,9.9e-07,9.9e-07,3,622363636.4,9.9e-07,2025-02-01T19:46:00.000000000Z,1,2025-02-01T19:47:00.000000Z
BTT/EUR,9.9e-07,9.9e-07,9.8e-07,9.8e-07,6,1273250338.3,9.8e-07,2025-02-01T19:48:00.000000000Z,1,2025-02-01T19:49:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,1,465859564.2,1e-06,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,2,465859564.2,1e-06,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,1,10976900.0,1e-06,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
BTT/EUR,1e-06,1e-06,1e-06,1e-06,2,484261501.2,1e-06,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
