symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
C98/USD,0.0805,0.0805,0.0794,0.0794,6,4231.10989727,0.0799,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
C98/USD,0.0805,0.0805,0.0794,0.0794,5,2721.67593727,0.0802,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
C98/USD,0.0805,0.0805,0.0804,0.0804,3,1197.36582,0.0804,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
C98/USD,0.0805,0.0805,0.0805,0.0805,1,423.0,0.0805,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
C98/USD,0.0943,0.0943,0.0943,0.0943,1,617.76,0.0943,2025-02-03T00:54:00.000000000Z,1,2025-02-03T00:55:00.000000Z
C98/USD,0.098,0.098,0.098,0.098,1,687.65,0.098,2025-02-03T00:02:00.000000000Z,1,2025-02-03T00:03:00.000000Z
C98/USD,0.1051,0.1051,0.1051,0.1051,1,1114.61573404,0.1051,2025-02-02T22:25:00.000000000Z,1,2025-02-02T22:26:00.000000Z
C98/USD,0.1001,0.1029,0.0999,0.1028,19,16230.20650588,0.1014,2025-02-02T22:23:00.000000000Z,1,2025-02-02T22:24:00.000000Z
C98/USD,0.1038,0.1039,0.1038,0.1039,2,4068.69635533,0.1038,2025-02-02T21:05:00.000000000Z,1,2025-02-02T21:06:00.000000Z
C98/USD,0.1003,0.1003,0.1003,0.1003,1,679.52850553,0.1003,2025-02-02T20:30:00.000000000Z,1,2025-02-02T20:31:00.000000Z
C98/USD,0.1093,0.1097,0.1093,0.1097,2,1342.64453923,0.1094,2025-02-02T17:59:00.000000000Z,1,2025-02-02T18:00:00.000000Z
C98/USD,0.1032,0.1032,0.1032,0.1032,4,5484.91175503,0.1032,2025-02-02T17:57:00.000000000Z,1,2025-02-02T17:58:00.000000Z
C98/USD,0.1044,0.1117,0.1044,0.1084,6,5671.22978474,0.106,2025-02-02T17:53:00.000000000Z,1,2025-02-02T17:54:00.000000Z
C98/USD,0.1019,0.1019,0.1019,0.1019,1,24.245,0.1019,2025-02-02T17:38:00.000000000Z,1,2025-02-02T17:39:00.000000Z
