symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CELR/USD,0.015317,0.015317,0.015317,0.015317,1,6339.63,0.015317,2025-02-01T19:24:00.000000000Z,1,2025-02-01T19:25:00.000000Z
CELR/USD,0.015261,0.015261,0.015162,0.015162,2,37119.5073,0.015172,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
CELR/USD,0.015193,0.015193,0.015193,0.015193,1,2364.0,0.015193,2025-02-01T19:48:00.000000000Z,1,2025-02-01T19:49:00.000000Z
CELR/USD,0.015188,0.015188,0.015188,0.015188,1,409.8217,0.015188,2025-02-01T20:00:00.000000000Z,1,2025-02-01T20:01:00.000000Z
CELR/USD,0.015227,0.015227,0.015227,0.015227,1,1232.87208164,0.015227,2025-02-01T20:04:00.000000000Z,1,2025-02-01T20:05:00.000000Z
CELR/USD,0.015363,0.015363,0.015158,0.015158,3,2327.5965049,0.015194,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
CELR/USD,0.015074,0.015074,0.015074,0.015074,1,1238.45574656,0.015074,2025-02-01T20:17:00.000000000Z,1,2025-02-01T20:18:00.000000Z
CELR/USD,0.015043,0.015043,0.015043,0.015043,1,1078.38690314,0.015043,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
CELR/USD,0.015007,0.015007,0.015007,0.015007,1,14449.5651186,0.015007,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
CELR/USD,0.015001,0.015001,0.015001,0.015001,1,1760.0,0.015001,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
