symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CHR/EUR,0.155,0.155,0.155,0.155,1,16.13369,0.155,2025-01-31T18:48:00.000000000Z,1,2025-01-31T18:49:00.000000Z
CHR/EUR,0.1579,0.1579,0.1579,0.1579,1,15.18972363,0.1579,2025-01-31T18:51:00.000000000Z,1,2025-01-31T18:52:00.000000Z
CHR/EUR,0.158,0.158,0.158,0.158,1,971.20144903,0.158,2025-02-01T05:21:00.000000000Z,1,2025-02-01T05:22:00.000000Z
CHR/EUR,0.1574,0.1574,0.1574,0.1574,1,18.98961426,0.1574,2025-02-01T06:37:00.000000000Z,1,2025-02-01T06:38:00.000000Z
CHR/EUR,0.153,0.153,0.153,0.153,1,15.0,0.153,2025-02-01T09:20:00.000000000Z,1,2025-02-01T09:21:00.000000Z
CHR/EUR,0.154,0.154,0.154,0.154,1,315.98572,0.154,2025-02-01T12:44:00.000000000Z,1,2025-02-01T12:45:00.000000Z
CHR/EUR,0.1525,0.1525,0.1525,0.1525,1,9.8679,0.1525,2025-02-01T14:03:00.000000000Z,1,2025-02-01T14:04:00.000000Z
CHR/EUR,0.146,0.146,0.146,0.146,1,15.0,0.146,2025-02-01T19:35:00.000000000Z,1,2025-02-01T19:36:00.000000Z
CHR/EUR,0.1432,0.1433,0.1431,0.1433,3,1877.35672261,0.1431,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
CHR/EUR,0.1437,0.1437,0.1437,0.1437,1,318.2767,0.1437,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
