symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CHR/USD,0.1031,0.1031,0.1031,0.1031,6,1201.23019742,0.1031,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CHR/USD,0.1031,0.1031,0.1031,0.1031,5,1129.0,0.1031,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CHR/USD,0.1031,0.1031,0.1031,0.1031,4,963.0,0.1031,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CHR/USD,0.1031,0.1031,0.1031,0.1031,3,712.0,0.1031,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CHR/USD,0.1031,0.1031,0.1031,0.1031,2,194.0,0.1031,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CHR/USD,0.1031,0.1031,0.1031,0.1031,1,110.0,0.1031,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
CHR/USD,0.1056,0.1056,0.1056,0.1056,1,29.56344696,0.1056,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
CHR/USD,0.1014,0.1057,0.1014,0.1057,10,23525.54776014,0.105,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1055,0.1014,0.1055,9,22324.31756272,0.105,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1055,0.1014,0.1055,8,21158.52654719,0.105,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1055,0.1014,0.1054,7,19278.33490314,0.1049,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1055,0.1014,0.1054,6,18803.34350092,0.1049,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1055,0.1014,0.1055,5,16033.55770923,0.1048,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1054,0.1014,0.1054,4,7881.87727242,0.1042,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1054,0.1014,0.1054,3,5112.09148073,0.1035,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1014,0.1014,0.1014,2,2342.30568904,0.1014,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1014,0.1014,0.1014,0.1014,1,1592.0,0.1014,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
CHR/USD,0.1027,0.1027,0.1014,0.1014,9,16140.50336492,0.1024,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1027,0.1027,0.1015,0.1015,7,15745.50336492,0.1024,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1027,0.1027,0.1015,0.1015,6,14966.50336492,0.1025,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1027,0.1027,0.1021,0.1021,5,14187.50336492,0.1025,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1027,0.1027,0.1027,0.1027,3,11197.66309639,0.1027,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1027,0.1027,0.1027,0.1027,2,6349.50336493,0.1027,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1027,0.1027,0.1027,0.1027,1,6182.50336493,0.1027,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
CHR/USD,0.1092,0.1092,0.1058,0.1058,4,14865.4983186,0.1079,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
CHR/USD,0.1092,0.1092,0.1075,0.1075,3,14850.4983186,0.1079,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
CHR/USD,0.1092,0.1092,0.1075,0.1075,2,12221.87985089,0.108,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
CHR/USD,0.1092,0.1092,0.1092,0.1092,1,4152.8239,0.1092,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
CHR/USD,0.1127,0.1127,0.1127,0.1127,1,15.0,0.1127,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
CHR/USD,0.1134,0.1134,0.1134,0.1134,1,465.0,0.1134,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
CHR/USD,0.1146,0.1146,0.1146,0.1146,1,174.52006981,0.1146,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
CHR/USD,0.1155,0.1155,0.1155,0.1155,1,1992.46597627,0.1155,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
CHR/USD,0.116,0.1162,0.1153,0.1162,6,10733.56581608,0.1159,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
CHR/USD,0.1182,0.1182,0.1181,0.1181,2,5459.46039,0.1181,2025-02-03T01:06:00.000000000Z,1,2025-02-03T01:07:00.000000Z
CHR/USD,0.1204,0.1204,0.1204,0.1204,3,4527.03369033,0.1204,2025-02-03T00:25:00.000000000Z,1,2025-02-03T00:26:00.000000Z
CHR/USD,0.1201,0.1201,0.1201,0.1201,1,238.5620915,0.1201,2025-02-03T00:22:00.000000000Z,1,2025-02-03T00:23:00.000000Z
CHR/USD,0.1203,0.1203,0.1203,0.1203,9,2660.01528129,0.1203,2025-02-03T00:20:00.000000000Z,1,2025-02-03T00:21:00.000000Z
