symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CHZ/EUR,0.0454,0.0454,0.0454,0.0454,1,530.98752855,0.0454,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
CHZ/EUR,0.0468,0.0468,0.0467,0.0467,6,11713.15862942,0.0467,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
CHZ/EUR,0.0471,0.0474,0.047,0.0474,5,88590.39600571,0.0472,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CHZ/EUR,0.0471,0.0472,0.047,0.0472,3,37001.69679597,0.047,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CHZ/EUR,0.0471,0.0471,0.047,0.047,2,31134.92240787,0.047,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
CHZ/EUR,0.048,0.048,0.0479,0.048,5,11089.91121192,0.0479,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CHZ/EUR,0.048,0.048,0.0479,0.048,4,8916.67014318,0.0479,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CHZ/EUR,0.048,0.048,0.0479,0.0479,3,6685.22581201,0.0479,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CHZ/EUR,0.048,0.048,0.048,0.048,2,4453.11855032,0.048,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CHZ/EUR,0.048,0.048,0.048,0.048,1,2220.61694391,0.048,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
CHZ/EUR,0.0475,0.0482,0.0475,0.0475,23,356900.31706127,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.0482,0.0475,0.048,22,356673.97961272,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.0482,0.0475,0.0479,21,350669.27710007,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.0482,0.0475,0.0482,19,311289.59136039,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.048,0.0475,0.048,18,308569.59136039,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.048,0.0475,0.048,15,257628.35339999,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.048,0.0475,0.048,14,237247.00238135,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.048,0.0475,0.048,13,222974.87664521,0.0478,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.048,0.0475,0.048,9,151534.52458809,0.0477,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.048,0.0475,0.048,7,131136.16663347,0.0477,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.0479,0.0475,0.0479,5,80136.85447305,0.0475,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.0475,0.0475,0.0475,4,65850.13727439,0.0475,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
CHZ/EUR,0.0475,0.0475,0.0475,0.0475,3,51448.63381085,0.0475,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
