symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
CLOUD/EUR,0.1328,0.1328,0.1328,0.1328,5,400.3887,0.1328,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
CLOUD/EUR,0.1328,0.1328,0.1328,0.1328,1,80.14669,0.1328,2025-02-01T19:43:00.000000000Z,1,2025-02-01T19:44:00.000000Z
CLOUD/EUR,0.1328,0.1328,0.1328,0.1328,5,459.19983,0.1328,2025-02-01T19:55:00.000000000Z,1,2025-02-01T19:56:00.000000Z
CLOUD/EUR,0.1328,0.1328,0.1325,0.1325,2,241.52295,0.1327,2025-02-01T19:59:00.000000000Z,1,2025-02-01T20:00:00.000000Z
CLOUD/EUR,0.1325,0.1325,0.1325,0.1325,11,939.79044,0.1325,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
CLOUD/EUR,0.1325,0.1325,0.1325,0.1325,15,3591.89511,0.1325,2025-02-01T20:10:00.000000000Z,1,2025-02-01T20:11:00.000000Z
CLOUD/EUR,0.1322,0.1322,0.1322,0.1322,10,878.72555,0.1322,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
CLOUD/EUR,0.1322,0.1322,0.1319,0.1319,2,757.45405,0.1319,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
CLOUD/EUR,0.1316,0.1316,0.1316,0.1316,8,634.54464,0.1316,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
CLOUD/EUR,0.1316,0.1316,0.1316,0.1316,3,221.38384,0.1316,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
