symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
COMP/EUR,65.11,65.11,65.11,65.11,1,14.82657462,65.11,2025-02-01T13:59:00.000000000Z,1,2025-02-01T14:00:00.000000Z
COMP/EUR,65.48,65.48,65.48,65.48,5,0.81244522,65.48,2025-02-01T14:32:00.000000000Z,1,2025-02-01T14:33:00.000000Z
COMP/EUR,65.48,65.48,65.48,65.48,5,5.29974203,65.48,2025-02-01T14:33:00.000000000Z,1,2025-02-01T14:34:00.000000Z
COMP/EUR,65.09,65.09,65.09,65.09,1,0.42,65.09,2025-02-01T15:09:00.000000000Z,1,2025-02-01T15:10:00.000000Z
COMP/EUR,64.71,64.71,64.71,64.71,1,2.20654596,64.71,2025-02-01T15:19:00.000000000Z,1,2025-02-01T15:20:00.000000Z
COMP/EUR,63.84,63.84,63.84,63.84,1,0.12134721,63.84,2025-02-01T19:06:00.000000000Z,1,2025-02-01T19:07:00.000000Z
COMP/EUR,63.52,63.52,63.52,63.52,1,0.06146571,63.52,2025-02-01T19:28:00.000000000Z,1,2025-02-01T19:29:00.000000Z
COMP/EUR,63.01,63.01,63.01,63.01,1,3.47625614,63.01,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
COMP/EUR,63.0,63.0,63.0,63.0,1,1.0,63.0,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
COMP/EUR,62.86,62.86,62.86,62.86,2,1.16740555,62.86,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
