symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
COTI/EUR,0.0633,0.0633,0.0633,0.0633,6,2057.59961898,0.0633,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
COTI/EUR,0.0633,0.0633,0.0633,0.0633,5,2031.94599586,0.0633,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
COTI/EUR,0.0633,0.0633,0.0633,0.0633,4,1901.32555268,0.0633,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
COTI/EUR,0.0633,0.0633,0.0633,0.0633,3,1687.79356483,0.0633,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
COTI/EUR,0.0633,0.0633,0.0633,0.0633,2,1474.93591549,0.0633,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
COTI/EUR,0.0633,0.0633,0.0633,0.0633,1,737.46816562,0.0633,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
COTI/EUR,0.06,0.06,0.0585,0.0585,4,5582.75440919,0.0591,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
COTI/EUR,0.06,0.06,0.0597,0.0597,2,2865.27932919,0.0597,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
COTI/EUR,0.0639,0.0639,0.062,0.062,2,6641.37572454,0.0635,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
COTI/EUR,0.0639,0.0639,0.0639,0.0639,1,5441.37572454,0.0639,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
COTI/EUR,0.066,0.066,0.0634,0.0634,6,9111.20823941,0.0655,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
COTI/EUR,0.066,0.066,0.0658,0.0658,5,7494.0771578,0.0659,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
COTI/EUR,0.066,0.066,0.0658,0.0658,4,6777.3416092,0.0659,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
COTI/EUR,0.066,0.066,0.066,0.066,3,6060.6060606,0.066,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
COTI/EUR,0.0701,0.0702,0.07,0.0702,6,42261.52103423,0.07,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
COTI/EUR,0.0706,0.0706,0.0706,0.0706,1,77.85,0.0706,2025-02-03T01:33:00.000000000Z,1,2025-02-03T01:34:00.000000Z
COTI/EUR,0.0705,0.0705,0.0705,0.0705,1,15000.0,0.0705,2025-02-03T01:29:00.000000000Z,1,2025-02-03T01:30:00.000000Z
COTI/EUR,0.072,0.072,0.0719,0.072,3,40245.31978853,0.0719,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
COTI/EUR,0.0726,0.0726,0.0726,0.0726,1,842.28165759,0.0726,2025-02-03T01:05:00.000000000Z,1,2025-02-03T01:06:00.000000Z
COTI/EUR,0.0727,0.0727,0.0727,0.0727,1,841.42916093,0.0727,2025-02-03T01:04:00.000000000Z,1,2025-02-03T01:05:00.000000Z
COTI/EUR,0.0726,0.0726,0.0726,0.0726,6,5175.69409941,0.0726,2025-02-03T01:02:00.000000000Z,1,2025-02-03T01:03:00.000000Z
COTI/EUR,0.0711,0.0711,0.0706,0.0706,3,6193.2934534,0.0707,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
COTI/EUR,0.0719,0.0719,0.0719,0.0719,2,25346.17524339,0.0719,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
